player,birthday,yrs,from,to,team
Mike Backman,1955-01-02,2,1982,1984,NYR
Brian Boucher,1977-01-02,13,2000,2013,"PHI,PHX,CGY,CBJ,CHI,SJS,CAR"
Wade Campbell,1961-01-02,5,1983,1988,"WIN,BOS"
Gabriel Carlsson,1997-01-02,3,2017,2020,CBJ
Neal Coulter,1963-01-02,2,1986,1988,NYI
Dave Cressman,1950-01-02,1,1975,1976,MNS
Andrew Ebbett,1983-01-02,7,2008,2015,"ANA,CHI,MIN,PHX,VAN,PIT"
Robbie Ftorek,1952-01-02,12,1973,1985,"DET,QUE,NYR"
Glen Harmon,1921-01-02,8,1943,1951,MTL
Harry Hyland*,1889-01-02,0,1918,1918,"MTW,OTS"
Jimmy Jones,1953-01-02,2,1978,1980,TOR
Lars Jonsson,1982-01-02,0,2007,2007,PHI
Zenon Konopka,1981-01-02,8,2006,2014,"MDA,CBJ,TBL,NYI,OTT,MIN,BUF"
Gord Labossiere,1940-01-02,8,1964,1972,"NYR,LAK,MNS"
Peter Lee,1956-01-02,5,1978,1983,PIT
Juha Lind,1974-01-02,3,1998,2001,"DAL,MTL"
Alexey Marchenko,1992-01-02,3,2014,2017,"DET,TOR"
Jacob Middleton,1996-01-02,1,2019,2020,SJS
Rick Mrozik,1975-01-02,0,2003,2003,CGY
Mattias Norstrom,1972-01-02,14,1994,2008,"NYR,LAK,DAL"
Ales Pisa,1977-01-02,1,2002,2003,"EDM,NYR"
Teemu Pulkkinen,1992-01-02,3,2014,2017,"DET,ARI,MIN"
Blake Speers,1997-01-02,0,2017,2017,NJD
Claude St. Sauveur,1952-01-02,0,1976,1976,ATF
John Stewart,1954-01-02,0,1980,1980,QUE
Robert Svehla,1969-01-02,8,1995,2003,"FLA,TOR"
Rick Tabaracci,1969-01-02,11,1989,2000,"PIT,WIN,WSH,CGY,TBL,ATL,COL"
Miroslav Zalesak,1980-01-02,1,2003,2004,SJS
Andrew Agozzino,1991-01-03,5,2015,2020,"COL,ANA,PIT"
Shawn Belle,1985-01-03,4,2007,2011,"MIN,MTL,COL,EDM"
Drake Berehowsky,1972-01-03,13,1991,2004,"TOR,PIT,EDM,NSH,VAN,PHX"
Reto Berra,1987-01-03,4,2014,2018,"CGY,COL,FLA,ANA"
Jean Bourcier,1911-01-03,0,1936,1936,MTL
Ryan Bourque,1991-01-03,0,2015,2015,NYR
Greg Britz,1961-01-03,3,1984,1987,"TOR,HAR"
Gord Brydson,1907-01-03,0,1930,1930,TOR
Jacques Cloutier,1960-01-03,12,1982,1994,"BUF,CHI,QUE"
Cory Cross,1971-01-03,12,1994,2006,"TBL,TOR,EDM,NYR,DET,PIT"
Ryan Ellis,1991-01-03,8,2012,2020,NSH
Gord Fraser,1902-01-03,4,1927,1931,"CBH,DTC,MTL,PTP,PHQ"
Matt Frattin,1988-01-03,4,2011,2015,"TOR,CBJ,LAK"
Simon Gamache,1981-01-03,5,2003,2008,"ATL,NSH,STL,TOR"
Kerry Huffman,1968-01-03,9,1987,1996,"PHI,QUE,OTT"
Bobby Hull*,1939-01-03,22,1958,1980,"CBH,HAR,WIN"
Raitis Ivanans,1979-01-03,6,2006,2012,"MTL,LAK,CGY"
Rick LaFerriere,1961-01-03,0,1982,1982,CLR
Marc Laforge,1968-01-03,4,1990,1994,"HAR,EDM"
David Latta,1967-01-03,5,1986,1991,QUE
Real Lemieux,1945-01-03,7,1967,1974,"DET,LAK,NYR,BUF"
Barry Long,1949-01-03,9,1973,1982,"LAK,DET,WIN"
Rick MacLeish,1950-01-03,13,1971,1984,"PHI,HAR,PIT,DET"
Bruce Major,1967-01-03,0,1991,1991,QUE
Moe Morris,1921-01-03,5,1944,1949,"TOR,NYR"
Joonas Nattinen,1991-01-03,0,2014,2014,MTL
Dylan Olsen,1991-01-03,4,2012,2016,"CHI,FLA"
Steve Poapst,1969-01-03,10,1996,2006,"WSH,CHI,PIT,STL"
Ryan Poehling,1999-01-03,1,2019,2020,MTL
Mike Posavad,1964-01-03,1,1986,1987,STL
Kevin Primeau,1956-01-03,0,1981,1981,VAN
Rick St. Croix,1955-01-03,7,1978,1985,"PHI,TOR"
Niklas Sundblad,1973-01-03,0,1996,1996,CGY
Norm Tustin,1919-01-03,0,1942,1942,NYR
Stefan Ustorf,1974-01-03,1,1996,1997,WSH
Sergei Vyshedkevich,1975-01-03,1,2000,2001,ATL
Mike Walton,1945-01-03,13,1966,1979,"TOR,BOS,VAN,CBH,STL"
Todd Warriner,1974-01-03,8,1995,2003,"TOR,TBL,PHX,VAN,NSH,PHI"
Mike York,1978-01-03,9,2000,2009,"NYR,EDM,NYI,PHI,PHX,CBJ"
Jergus Baca,1965-01-04,1,1991,1992,HAR
Earl Balfour,1933-01-04,9,1952,1961,"TOR,CBH"
David Broll,1993-01-04,0,2014,2014,TOR
Charles Cahill,1904-01-04,1,1926,1927,BOS
Kevin Colley,1979-01-04,0,2006,2006,NYI
Greg de Vries,1973-01-04,13,1996,2009,"EDM,COL,NSH,NYR,OTT,ATL"
Trevor Fahey,1944-01-04,0,1965,1965,NYR
Seth Griffith,1993-01-04,3,2015,2018,"BOS,FLA,TOR,BUF"
Nico Hischier,1999-01-04,2,2018,2020,NJD
Jiri Hudler,1984-01-04,13,2004,2017,"DET,CGY,FLA,DAL"
Cole Jarrett,1983-01-04,0,2006,2006,NYI
Michael Keränen,1990-01-04,0,2016,2016,MIN
James Latos,1966-01-04,0,1989,1989,NYR
Maxime Macenauer,1989-01-04,0,2012,2012,ANA
Kenndal McArdle,1987-01-04,3,2009,2012,"FLA,WPG"
Robert McDonald,1923-01-04,0,1944,1944,NYR
Freddy Meyer,1981-01-04,7,2004,2011,"PHI,NYI,PHX,ATL"
Herb Mitchell,1896-01-04,1,1925,1926,BOS
Dmitri Nabokov,1977-01-04,2,1998,2000,"CHI,NYI"
Patrick Russell,1993-01-04,1,2019,2020,EDM
Brian Strait,1988-01-04,6,2011,2017,"PIT,NYI,WPG"
Brad Zavisha,1972-01-04,0,1994,1994,EDM
John Brenneman,1943-01-05,4,1965,1969,"CBH,NYR,TOR,DET,OAK"
Kyle Calder,1979-01-05,10,2000,2010,"CHI,DET,PHI,LAK,ANA"
James Camazzola,1964-01-05,3,1984,1987,"CBH,CHI"
Gene Chouinard,1902-01-05,0,1928,1928,OTS
Stan Drulia,1968-01-05,8,1993,2001,TBL
Vitezslav Duris,1954-01-05,2,1981,1983,TOR
Zemgus Girgensons,1994-01-05,6,2014,2020,BUF
Fred Glover,1928-01-05,3,1950,1953,"DET,CBH"
Mike Grier,1975-01-05,14,1997,2011,"EDM,WSH,BUF,SJS"
Matt Grzelcyk,1994-01-05,3,2017,2020,BOS
Ron Homenuke,1952-01-05,0,1973,1973,VAN
Jiri Hrdina,1958-01-05,4,1988,1992,"CGY,PIT"
Joe Juneau,1968-01-05,12,1992,2004,"BOS,WSH,BUF,OTT,PHX,MTL"
Tim Kerr,1960-01-05,12,1981,1993,"PHI,NYR,HAR"
Eddie Lack,1988-01-05,4,2014,2018,"VAN,CAR,CGY,NJD"
Brett MacDonald,1966-01-05,0,1988,1988,VAN
Kevin Maguire,1963-01-05,5,1987,1992,"TOR,BUF,PHI"
Basil McRae,1961-01-05,15,1982,1997,"QUE,TOR,DET,MNS,STL,TBL,CHI"
Brian McReynolds,1965-01-05,4,1990,1994,"WIN,NYR,LAK"
Dakota Mermis,1994-01-05,2,2018,2020,"ARI,NJD"
Mathieu Perreault,1988-01-05,10,2010,2020,"WSH,ANA,WPG"
Gerry Plamondon,1924-01-05,5,1946,1951,MTL
Ray Podloski,1966-01-05,0,1989,1989,BOS
Corey Potter,1984-01-05,7,2009,2016,"NYR,PIT,EDM,BOS,CGY,NSH"
Wayne Rutledge,1942-01-05,2,1968,1970,LAK
Alexander Salak,1987-01-05,0,2010,2010,FLA
Anthony Stewart,1985-01-05,6,2006,2012,"FLA,ATL,CAR"
Alex Tidey,1955-01-05,3,1977,1980,"BUF,EDM"
Zellio Toppazzini,1930-01-05,8,1949,1957,"BOS,NYR,CBH"
Steve Tuttle,1966-01-05,2,1989,1991,STL
Mikhail Vorobyev,1997-01-05,1,2019,2020,PHI
Doug Barkley,1937-01-06,8,1958,1966,"CBH,DET"
Andre Benoit,1984-01-06,5,2011,2016,"OTT,COL,BUF,STL"
David Brine,1985-01-06,0,2008,2008,FLA
Adam Burish,1983-01-06,8,2007,2015,"CHI,DAL,SJS"
Will Butcher,1995-01-06,2,2018,2020,NJD
Bob Cook,1946-01-06,4,1971,1975,"VAN,DET,NYI,MNS"
Ryan Craig,1982-01-06,9,2006,2015,"TBL,PIT,CBJ"
Keith Crowder,1959-01-06,9,1981,1990,"BOS,LAK"
Johan Davidsson,1976-01-06,1,1999,2000,"MDA,NYI"
Nicolas Deschamps,1990-01-06,0,2014,2014,WSH
Scott Ferguson,1973-01-06,8,1998,2006,"EDM,MDA,MIN"
Alex Forsyth,1955-01-06,0,1977,1977,WSH
Guy Gosselin,1964-01-06,0,1988,1988,WIN
Harold Halderson,1900-01-06,0,1927,1927,"DTC,TOR"
Kari Jalonen,1960-01-06,1,1983,1984,"CGY,EDM"
Ryan Keller,1984-01-06,0,2010,2010,OTT
Brett Kulak,1994-01-06,5,2015,2020,"CGY,MTL"
Scott Lehman,1986-01-06,0,2009,2009,ATL
Roman Lyubimov,1992-01-06,0,2017,2017,PHI
Nathan McIver,1985-01-06,2,2007,2009,"VAN,ANA"
Dick Meissner,1940-01-06,5,1960,1965,"BOS,NYR"
Scott Metcalfe,1967-01-06,2,1988,1990,"BUF,EDM"
Dickie Moore*,1931-01-06,16,1952,1968,"MTL,TOR,STL"
Paul Reinhart,1960-01-06,10,1980,1990,"ATF,CGY,VAN"
Rob Valicevic,1971-01-06,5,1999,2004,"NSH,LAK,MDA,DAL"
Leigh Verstraete,1962-01-06,5,1983,1988,TOR
Carl Voss*,1907-01-06,11,1927,1938,"TOR,DET,NYR,OTS,STE,NYA,MTM,CBH"
Richard Zednik,1976-01-06,13,1996,2009,"WSH,MTL,NYI,FLA"
Alex Auld,1981-01-07,10,2002,2012,"VAN,FLA,BOS,PHX,OTT,DAL,NYR,MTL"
Cody Bass,1987-01-07,9,2008,2017,"OTT,CBJ,NSH"
Yves Beaudoin,1965-01-07,2,1986,1988,WSH
Larry Bignell,1950-01-07,0,1974,1974,PIT
Luciano Borsato,1966-01-07,4,1991,1995,WIN
Donald Brashear,1972-01-07,16,1994,2010,"MTL,VAN,PHI,WSH,NYR"
Randy Burridge,1966-01-07,12,1986,1998,"BOS,WSH,LAK,BUF"
Rod Buskas,1961-01-07,10,1983,1993,"PIT,VAN,LAK,CHI"
Noah Dobson,2000-01-07,0,2020,2020,NYI
Bill Fairbairn,1947-01-07,10,1969,1979,"NYR,MNS,STL"
Erik Gudbranson,1992-01-07,8,2012,2020,"FLA,VAN,PIT,ANA"
Guy Hebert,1967-01-07,9,1992,2001,"STL,MDA,NYR"
Patrick Holland,1992-01-07,0,2014,2014,MTL
Jani Hurme,1975-01-07,3,2000,2003,"OTT,FLA"
Lloyd Jackson,1912-01-07,0,1937,1937,NYA
Steve Janaszak,1957-01-07,2,1980,1982,"MNS,CLR"
Doug Keans,1958-01-07,8,1980,1988,"LAK,BOS"
Mikhail Kuleshov,1981-01-07,0,2004,2004,COL
Denny Lambert,1970-01-07,7,1995,2002,"MDA,OTT,NSH,ATL"
Mike Liut,1956-01-07,12,1980,1992,"STL,HAR,WSH"
Zack Mitchell,1993-01-07,1,2017,2018,MIN
Alex Nedeljkovic,1996-01-07,3,2017,2020,CAR
Babe Pratt*,1916-01-07,11,1936,1947,"NYR,TOR,BOS"
Mike Rosati,1968-01-07,0,1999,1999,WSH
Aleksi Saarela,1997-01-07,0,2020,2020,FLA
Barry Salovaara,1948-01-07,1,1975,1976,DET
Brendan Shinnimin,1991-01-07,0,2015,2015,ARI
Hooley Smith*,1903-01-07,16,1925,1941,"OTS,MTM,BOS,NYA"
Brent Sopel,1977-01-07,12,1999,2011,"VAN,LAK,NYI,CHI,ATL,MTL"
Michael Thelven,1961-01-07,4,1986,1990,BOS
Morris Titanic,1953-01-07,1,1975,1976,BUF
MacKenzie Weegar,1994-01-07,3,2017,2020,FLA
Chris Wideman,1990-01-07,3,2016,2019,"OTT,EDM,FLA"
Johan Witehall,1972-01-07,2,1999,2001,"NYR,MTL"
Benny Woit,1928-01-07,6,1951,1957,"DET,CBH"
Garth Butcher,1963-01-08,13,1982,1995,"VAN,STL,QUE,TOR"
Mac Colville,1916-01-08,11,1936,1947,NYR
Max Comtois,1999-01-08,1,2019,2020,ANA
Bill Cupolo,1924-01-08,0,1945,1945,BOS
Ron Ellis,1945-01-08,17,1964,1981,TOR
Wally Hergesheimer,1927-01-08,7,1952,1959,"NYR,CBH"
William Karlsson,1993-01-08,5,2015,2020,"ANA,CBJ,VEG"
Jon Klemm,1970-01-08,16,1992,2008,"QUE,COL,CHI,DAL,LAK"
Jarno Kultanen,1973-01-08,2,2001,2003,BOS
Darren Langdon,1971-01-08,11,1995,2006,"NYR,CAR,VAN,MTL,NJD"
Trevor Lewis,1987-01-08,11,2009,2020,LAK
Dwayne Norris,1970-01-08,2,1994,1996,"QUE,MDA"
Joakim Nygard,1993-01-08,0,2020,2020,EDM
Dan Poliziani,1935-01-08,0,1959,1959,BOS
Marian Stastny,1953-01-08,4,1982,1986,"QUE,TOR"
Alexander Vasilevski,1975-01-08,1,1996,1997,STL
Emanuel Viveiros,1966-01-08,2,1986,1988,MNS
Igor Vyazmikin,1966-01-08,0,1991,1991,EDM
Steve Witiuk,1929-01-08,0,1952,1952,CBH
Vitali Yachmenev,1975-01-08,7,1996,2003,"LAK,NSH"
Radek Bonk,1976-01-09,14,1995,2009,"OTT,MTL,NSH"
Helge Bostrom,1894-01-09,3,1930,1933,CBH
Bruce Boudreau,1955-01-09,9,1977,1986,"TOR,CBH"
Ken Breitenbach,1955-01-09,3,1976,1979,BUF
Fred Burchell,1931-01-09,3,1951,1954,MTL
Jack Campbell,1992-01-09,6,2014,2020,"DAL,LAK,TOR"
Kevin Czuczman,1991-01-09,0,2014,2014,NYI
Raphael Diaz,1986-01-09,3,2012,2015,"MTL,NYR,VAN,CGY"
Anders Eriksson,1975-01-09,14,1996,2010,"DET,CHI,FLA,TOR,CBJ,CGY,NYR,PHX"
Radek Faksa,1994-01-09,4,2016,2020,DAL
Mathieu Garon,1978-01-09,12,2001,2013,"MTL,LAK,EDM,PIT,CBJ,TBL"
Justin Hocking,1974-01-09,0,1994,1994,LAK
Jamie Huscroft,1967-01-09,11,1989,2000,"NJD,BOS,CGY,TBL,VAN,PHX,WSH"
Gaston Leroux,1913-01-09,0,1936,1936,MTL
Rick Lessard,1968-01-09,3,1989,1992,"CGY,SJS"
David Ling,1975-01-09,7,1997,2004,"MTL,CBJ"
Dwayne Lowdermilk,1958-01-09,0,1981,1981,WSH
Ken McAuley,1921-01-09,1,1944,1945,NYR
Rob McClanahan,1958-01-09,4,1980,1984,"BUF,HAR,NYR"
Dave McLlwain,1967-01-09,9,1988,1997,"PIT,WIN,BUF,NYI,TOR,OTT"
Travis Morin,1984-01-09,4,2011,2015,DAL
Dennis Patterson,1950-01-09,5,1975,1980,"KCS,PHI"
Scott Pellerin,1970-01-09,11,1993,2004,"NJD,STL,CAR,MIN,BOS,DAL,PHX"
Brent Thompson,1971-01-09,5,1992,1997,"LAK,WIN,PHX"
Scott Thornton,1971-01-09,17,1991,2008,"TOR,EDM,MTL,DAL,SJS,LAK"
Doug Volmar,1945-01-09,2,1971,1973,"DET,LAK"
Jim Wiemer,1961-01-09,10,1984,1994,"BUF,NYR,EDM,LAK,BOS"
Stephane Beauregard,1968-01-10,4,1990,1994,"WIN,PHI"
Doug Brennan,1905-01-10,2,1932,1934,NYR
Bill Butters,1951-01-10,1,1978,1979,MNS
John Carlson,1990-01-10,10,2010,2020,WSH
Dean Clark,1964-01-10,0,1984,1984,EDM
Danton Cole,1967-01-10,6,1990,1996,"WIN,TBL,NJD,CHI,NYI"
Lloyd Doran,1921-01-10,0,1947,1947,DET
Tom Gilbert,1983-01-10,10,2007,2017,"EDM,MIN,FLA,MTL,LAK"
George Hay*,1898-01-10,6,1927,1933,"CBH,DTC,DTF,DET"
Martin Jones,1990-01-10,6,2014,2020,"LAK,SJS"
Normand Leveille,1963-01-10,1,1982,1983,BOS
Frank Mahovlich*,1938-01-10,17,1957,1974,"TOR,DET,MTL"
Randy Manery,1949-01-10,9,1971,1980,"DET,ATF,LAK"
Don Metz,1916-01-10,9,1940,1949,TOR
Robert Nilsson,1985-01-10,4,2006,2010,"NYI,EDM"
Tobias Rieder,1993-01-10,5,2015,2020,"ARI,LAK,EDM,CGY"
Jeff Serowik,1967-01-10,8,1991,1999,"TOR,BOS,PIT"
Rastislav Stana,1980-01-10,0,2004,2004,WSH
Morris Stefaniw,1948-01-10,0,1973,1973,ATF
Henrik Tallinder,1979-01-10,12,2002,2014,"BUF,NJD"
Vladimir Zharkov,1988-01-10,2,2010,2012,NJD
Marc Behrend,1961-01-11,2,1984,1986,WIN
Yves Bergeron,1952-01-11,2,1975,1977,PIT
Tim Bergland,1965-01-11,4,1990,1994,"WSH,TBL"
Connie Brown,1917-01-11,4,1939,1943,DET
Dave Burrows,1949-01-11,9,1972,1981,"PIT,TOR"
Kent Carlson,1962-01-11,5,1984,1989,"MTL,STL,WSH"
Mike Corrigan,1946-01-11,10,1968,1978,"LAK,VAN,PIT"
Rory Fitzpatrick,1975-01-11,12,1996,2008,"MTL,STL,NSH,BUF,VAN,PHI"
Wade Flaherty,1968-01-11,11,1992,2003,"SJS,NYI,TBL,FLA,NSH"
Red Hamill,1917-01-11,13,1938,1951,"BOS,CBH"
Nicolas Kerdiles,1994-01-11,1,2017,2018,ANA
Dave Kerr,1910-01-11,10,1931,1941,"MTM,NYA,NYR"
Peter LeBoutillier,1975-01-11,1,1997,1998,MDA
Justin Mapletoft,1981-01-11,1,2003,2004,NYI
Ryan Mulhern,1973-01-11,0,1998,1998,WSH
Mark Pysyk,1992-01-11,7,2013,2020,"BUF,FLA"
Rob Ramage,1959-01-11,14,1980,1994,"CLR,STL,CGY,TOR,MNS,MTL,TBL,PHI"
Dave Reid,1934-01-11,3,1953,1956,TOR
Bobby Sheehan,1949-01-11,12,1970,1982,"MTL,CGS,CBH,DET,CLR,LAK"
Ron Stern,1967-01-11,12,1988,2000,"VAN,CGY,SJS"
Fred Thurier,1916-01-11,4,1941,1945,"NYA,BRO,NYR"
Josh Tordjman,1985-01-11,0,2009,2009,PHX
Warren Young,1956-01-11,6,1982,1988,"MNS,PIT,DET"
Richard Bittner,1922-01-12,0,1950,1950,BOS
Nikolai Borschevsky,1965-01-12,3,1993,1996,"TOR,CGY,DAL"
Josef Boumedienne,1978-01-12,2,2002,2004,"NJD,TBL,WSH"
Frank Carson,1902-01-12,8,1926,1934,"MTM,NYA,DTF,DET"
Hap Emms,1905-01-12,11,1927,1938,"MTM,NYA,DTF,DET,BOS"
Daryl Evans,1961-01-12,5,1982,1987,"LAK,WSH,TOR"
Curt Fraser,1958-01-12,11,1979,1990,"VAN,CBH,CHI,MNS"
Claude Giroux,1988-01-12,12,2008,2020,PHI
Ben Harpur,1995-01-12,3,2016,2019,OTT
Frank Heffernan,1892-01-12,0,1920,1920,TRS
Brian Hill,1957-01-12,0,1980,1980,HAR
Tim Horton*,1930-01-12,24,1950,1974,"TOR,NYR,PIT,BUF"
Marian Hossa*,1979-01-12,19,1998,2017,"OTT,ATL,PIT,DET,CHI"
David Kampf,1995-01-12,2,2018,2020,CHI
Espen Knutsen,1972-01-12,6,1998,2004,"MDA,CBJ"
Niklas Kronwall,1981-01-12,15,2004,2019,DET
Maxime Lagace,1993-01-12,1,2018,2019,VEG
Dan Lambert,1970-01-12,1,1991,1992,QUE
Fern LeBlanc,1956-01-12,2,1977,1979,DET
Mike McBain,1977-01-12,1,1998,1999,TBL
Jay More,1969-01-12,10,1989,1999,"NYR,MNS,SJS,PHX,CHI,NSH"
Rich Parent,1973-01-12,3,1998,2001,"STL,TBL,PIT"
Alex Pirus,1955-01-12,3,1977,1980,"MNS,DET"
Armand Raymond,1913-01-12,2,1938,1940,MTL
Herb Rheaume,1900-01-12,0,1926,1926,MTL
Dave Ritchie,1892-01-12,8,1918,1926,"MTW,OTS,TRA,QBC,MTL"
Cam Russell,1969-01-12,9,1990,1999,"CHI,COL"
Jack Shill,1913-01-12,5,1934,1939,"TOR,BOS,CBH,NYA"
Dennis Sobchuk,1954-01-12,3,1980,1983,"DET,QUE"
Jocelyn Thibault,1975-01-12,14,1994,2008,"QUE,COL,MTL,CHI,PIT,BUF"
Lindsay Vallis,1971-01-12,0,1994,1994,MTL
Rick Vasko,1957-01-12,3,1978,1981,DET
Pete Bessone,1913-01-13,0,1938,1938,DET
Tyler Bouck,1980-01-13,6,2001,2007,"DAL,PHX,VAN"
Sergei Brylin,1974-01-13,13,1995,2008,NJD
Kyle Clifford,1991-01-13,9,2011,2020,"LAK,TOR"
Jeremy Colliton,1985-01-13,5,2006,2011,NYI
Robb Gordon,1976-01-13,0,1999,1999,VAN
Paul Higgins,1962-01-13,1,1982,1983,TOR
Kelly Hrudey,1961-01-13,14,1984,1998,"NYI,LAK,SJS"
Jack Johnson,1987-01-13,13,2007,2020,"LAK,CBJ,PIT"
Nikolai Khabibulin,1973-01-13,19,1995,2014,"WIN,PHX,TBL,CHI,EDM"
Lloyd Klein,1910-01-13,9,1929,1938,"BOS,NYA"
Adie Lafrance,1912-01-13,0,1934,1934,MTL
Maxim Mamin,1995-01-13,1,2018,2019,FLA
Cesare Maniago,1939-01-13,17,1961,1978,"TOR,MTL,NYR,MNS,VAN"
Connor McDavid,1997-01-13,4,2016,2020,EDM
Graeme Nicolson,1958-01-13,4,1979,1983,"BOS,CLR,NYR"
Mike Palmateer,1954-01-13,7,1977,1984,"TOR,WSH"
Allen Pedersen,1965-01-13,7,1987,1994,"BOS,MNS,HAR"
Roger Picard,1935-01-13,0,1968,1968,STL
Adrien Plavsic,1970-01-13,7,1990,1997,"STL,VAN,TBL,MDA"
Ivan Provorov,1997-01-13,3,2017,2020,PHI
Art Ross*,1886-01-13,0,1918,1918,MTW
Mike Rupp,1980-01-13,11,2003,2014,"NJD,PHX,CBJ,PIT,NYR,MIN"
Ryan Sproul,1993-01-13,4,2014,2018,"DET,NYR"
Marc Staal,1987-01-13,12,2008,2020,NYR
Yakov Trenin,1997-01-13,0,2020,2020,NSH
Austin Watson,1992-01-13,7,2013,2020,NSH
Zdenek Blatny,1981-01-14,3,2003,2006,"ATL,BOS"
Fred Boimistruck,1962-01-14,1,1982,1983,TOR
Nick Boynton,1979-01-14,11,2000,2011,"BOS,PHX,FLA,ANA,CHI,PHI"
Connor Brown,1994-01-14,4,2016,2020,"TOR,OTT"
Eric Charron,1970-01-14,7,1993,2000,"MTL,TBL,WSH,CGY"
Nick Drazenovic,1987-01-14,3,2011,2014,"STL,CBJ,PIT"
David Emma,1969-01-14,8,1993,2001,"NJD,BOS,FLA"
Bob Essensa,1965-01-14,13,1989,2002,"WIN,DET,EDM,PHX,VAN,BUF"
Peter Holland,1991-01-14,6,2012,2018,"ANA,TOR,ARI,NYR"
Greg Johnston,1965-01-14,8,1984,1992,"BOS,TOR"
Justin Kurtz,1977-01-14,0,2002,2002,VAN
Dave MacKay,1919-01-14,0,1941,1941,CBH
Don MacLean,1977-01-14,9,1998,2007,"LAK,TOR,CBJ,DET,PHX"
Alan May,1965-01-14,7,1988,1995,"BOS,EDM,WSH,DAL,CGY"
Sergei Nemchinov,1964-01-14,10,1992,2002,"NYR,VAN,NYI,NJD"
Mark Pederson,1968-01-14,4,1990,1994,"MTL,PHI,SJS,DET"
Tom Pederson,1970-01-14,4,1993,1997,"SJS,TOR"
Andrew Poturalski,1994-01-14,0,2017,2017,CAR
George Ranieri,1936-01-14,0,1957,1957,BOS
Terry Ryan,1977-01-14,2,1997,1999,MTL
Babe Siebert*,1904-01-14,13,1926,1939,"MTM,NYR,BOS,MTL"
Aud Tuten,1914-01-14,1,1942,1943,CBH
Mike Wong,1955-01-14,0,1976,1976,DET
Mason Appleton,1996-01-15,1,2019,2020,WPG
Francis Belanger,1978-01-15,0,2001,2001,MTL
John Bethel,1957-01-15,0,1980,1980,WIN
Steve Brule,1975-01-15,0,2003,2003,COL
Adam Burt,1969-01-15,12,1989,2001,"HAR,CAR,PHI,ATL"
Cade Fairchild,1989-01-15,0,2012,2012,STL
Ron Handy,1963-01-15,3,1985,1988,"NYI,STL"
Randy Holt,1953-01-15,9,1975,1984,"CBH,CLE,LAK,VAN,CGY,WSH,PHI"
Willie Huber,1958-01-15,9,1979,1988,"DET,NYR,PHI,VAN"
Bjorn Johansson,1956-01-15,1,1977,1978,CLE
Alexander Korolyuk,1976-01-15,6,1998,2004,SJS
Brett Lebda,1982-01-15,6,2006,2012,"DET,TOR,CBJ"
Rob McVicar,1982-01-15,0,2006,2006,VAN
Hillary Menard,1934-01-15,0,1954,1954,CBH
Mike Murphy,1989-01-15,0,2012,2012,CAR
Martin Necas,1999-01-15,2,2018,2020,CAR
Justin Papineau,1980-01-15,2,2002,2004,"STL,NYI"
Nolan Schaefer,1980-01-15,0,2006,2006,SJS
Cam Severson,1978-01-15,3,2003,2006,"MDA,CBJ"
Martin Strbak,1975-01-15,0,2004,2004,"LAK,PIT"
Alexander Suglobov,1982-01-15,3,2004,2007,"NJD,TOR"
Slava Voynov,1990-01-15,3,2012,2015,LAK
Alex Wood,1911-01-15,0,1937,1937,NYA
