player,birthday,yrs,from,to,month,day,country
Morris Woodrow,1915-09-13,6,1939,1945,9,13,USA
John Dewey,1918-05-11,7,1942,1949,5,11,USA
Richard Earl,1920-03-03,0,1942,1942,3,3,USA
Merle Theron,1872-08-05,1,1902,1903,8,5,USA
Grady Emmett,1897-06-29,1,1928,1929,6,29,USA
John Harry,1874-01-19,0,1895,1895,1,19,USA
Jonathan Scott,1977-08-30,5,2003,2008,8,30,USA
Steven Thomas,1964-10-26,0,1990,1990,10,26,USA
Timothy Max,1987-11-13,1,2016,2017,11,13,USA
David George,1943-07-15,5,1963,1968,7,15,USA
Ehire Enrique,1989-08-21,6,2013,2019,8,21,Venezuela
Michael Troy,1963-09-21,5,1987,1992,9,21,USA
Jeremy David,1979-06-06,13,2002,2015,6,6,USA
Benny Peter,1971-12-28,4,1998,2002,12,28,USA
Tommie Lee,1942-08-09,11,1962,1973,8,9,USA
Harry,1929-04-20,1,1954,1955,4,20,USA
Joseph Abram,1887-06-12,3,1912,1915,6,12,USA
Samuel Lester,1887-04-12,6,1913,1919,4,12,USA
Juan Roberto,1958-02-23,12,1981,1993,2,23,P.R.
Dario Abdiel,1994-12-28,0,2019,2019,12,28,Panama
Luis,1959-03-13,9,1980,1989,3,13,P.R.
Christopher Louis,1979-02-23,4,2004,2008,2,23,USA
Jesus Alexander,1990-06-30,5,2014,2019,6,30,Venezuela
Richard Warren,1961-12-31,15,1985,2000,12,31,USA
Henry John,1931-01-31,15,1955,1970,1,31,USA
Patrick Howard,1969-12-10,0,1995,1995,12,10,USA
Nicholas Mark,1990-03-15,5,2014,2019,3,15,USA
Willie Mays,1954-10-14,8,1977,1985,10,14,USA
Daniel Ray,1959-03-17,2,1979,1981,3,17,USA
Edward Wilbur,1890-02-04,14,1910,1924,2,4,Russia
Kurt Harold,1978-09-09,3,2001,2004,9,9,USA
Raleigh Leonidas,1887-12-05,4,1911,1915,12,5,USA
George Wilson,1890-12-29,0,1912,1912,12,29,USA
John Leckie,1861-08-29,0,1884,1884,8,29,USA
Darrel Wayne,1962-06-12,5,1986,1991,6,12,USA
Jackie Delane,1940-07-13,10,1964,1974,7,13,USA
William G.,1904-12-25,3,1929,1932,12,25,USA
Albert Earl,1887-11-01,0,1912,1912,11,1,USA
Ruben,1991-06-14,0,2019,2019,6,14,USA
Gibson Alberto,1960-01-18,0,1988,1988,1,18,D.R.
Jonathan,1982-10-30,5,2007,2012,10,30,P.R.
Joseph Peter,1933-06-26,0,1958,1958,6,26,USA
Andrew William,1985-10-06,4,2013,2017,10,6,CAN
Francis Burt,1950-05-04,0,1978,1978,5,4,USA
Frederick Joseph,1882-01-14,0,1910,1910,1,14,USA
Hanser Joel,1992-10-17,4,2015,2019,10,17,D.R.
Jose Edgardo,1969-06-29,2,1995,1997,6,29,P.R.
Matthew James,1983-01-20,13,2006,2019,1,20,USA
Ozhaino Jurdy Jiandro,1997-01-07,2,2017,2019,1,7,Curacao
Edward John,1918-10-27,5,1941,1946,10,27,USA
Edward Arthur,1929-02-28,1,1949,1950,2,28,USA
Harold John,1921-06-30,0,1947,1947,6,30,USA
Alberto Jose,1986-06-10,6,2011,2017,6,10,D.R.
Victor,1947-05-12,3,1973,1976,5,12,USA
Jorge Luis,1995-07-28,0,2019,2019,7,28,D.R.
Santo,1952-12-23,1,1976,1977,12,23,D.R.
Arismendy,1991-10-29,3,2014,2017,10,29,D.R.
Israel,1973-05-06,2,2000,2002,5,6,D.R.
Raul,1992-12-04,1,2016,2017,12,4,D.R.
Sandy,1995-09-07,2,2017,2019,9,7,D.R.
Victor Alfonso,1993-04-03,2,2017,2019,4,3,D.R.
Angel Luis,1941-06-20,3,1967,1970,6,20,P.R.
John Forbes,1885-11-29,0,1914,1914,11,29,USA
Dale Leonard,1918-03-09,1,1943,1944,3,9,USA
Michael Peter,1961-01-29,10,1986,1996,1,29,USA
Scott Phillip,1968-06-12,10,1990,2000,6,12,USA
Cory Jerome,1979-06-13,9,2001,2010,6,13,USA
Jay Robert,1961-04-14,3,1987,1990,4,14,USA
Victor,1893-10-25,11,1917,1928,10,25,USA
Charles,1917-02-19,3,1941,1944,2,19,USA
Robert Somerville,1922-08-07,2,1955,1957,8,7,CAN
David Dale,1903-04-26,4,1929,1933,4,26,USA
Doyle Lafayette,1950-09-04,18,1971,1989,9,4,USA
Gary Wayne,1953-03-27,6,1975,1981,3,27,USA
Gerald Paul,1968-03-26,2,1990,1992,3,26,USA
Hugh,1917-07-10,0,1937,1937,7,10,USA
Matthew,1947-01-30,8,1973,1981,1,30,USA
Manuel de Jesus,1971-03-20,14,1992,2006,3,20,D.R.
William Henry,1858-11-24,0,1884,1884,11,24,USA
Grover Cleveland,1887-02-26,19,1911,1930,2,26,USA
Scott Alain,1989-07-10,4,2015,2019,7,10,USA
Tyler John,1994-07-14,0,2019,2019,7,14,USA
Walter Ernest,1891-03-05,5,1912,1917,3,5,USA
Jason,1977-11-29,0,2004,2004,11,29,USA
Jorge Mario,1993-06-11,3,2016,2019,6,11,Colombia
Antonio,1972-04-16,10,1997,2007,4,16,D.R.
Edgardo Antonio,1973-11-08,11,1995,2006,11,8,Venezuela
Eliezer Jesus,1979-02-07,5,2006,2011,2,7,Venezuela
Anthony Joseph,1994-07-20,2,2017,2019,7,20,USA
Luis Rene,1965-07-29,14,1988,2002,7,29,P.R.
Andrew Neal,1961-12-22,9,1986,1995,12,22,USA
Brian Marshall,1958-01-03,2,1979,1981,1,3,USA
Kolby Kenneth,1997-08-13,1,2018,2019,8,13,USA
Austin Michael,1994-01-16,0,2019,2019,1,16,USA
Bernard Keith,1939-04-16,11,1962,1973,4,16,USA
Robert Gilman,1867-07-10,10,1890,1900,7,10,USA
Robert,1894-10-13,0,1919,1919,10,13,USA
Robert Earl,1914-07-02,0,1937,1937,7,2,USA
Robert Gray,1937-10-23,6,1961,1967,10,23,USA
Brandon Durell,1986-02-12,3,2009,2012,2,12,USA
John Chad,1975-02-06,6,1999,2005,2,6,USA
Cody Edward,1988-11-20,7,2012,2019,11,20,USA
Richard Anthony,1942-03-08,14,1963,1977,3,8,USA
Dustin R.,1972-08-09,0,2000,2000,8,9,USA
Ethan Nathan,1904-01-01,12,1926,1938,1,1,USA
Frank Leon,1888-08-26,5,1912,1917,8,26,USA
Gary Martin,1955-02-04,6,1979,1985,2,4,USA
Gregory Lomack,1993-03-15,2,2017,2019,3,15,USA
Frank Erwin,1846-04-20,0,1872,1872,4,20,USA
Harold Andrew,1940-07-23,7,1966,1973,7,23,USA
Hezekiah,1863-02-25,0,1884,1884,2,25,USA
Horace Tanner,1899-06-11,0,1919,1919,6,11,USA
Cyrus Alban,1855-10-02,0,1879,1879,10,2,USA
James Bradley,1958-05-29,0,1983,1983,5,29,USA
Jermaine LaMont,1972-01-11,3,1996,1999,1,11,USA
John Marshall,1890-10-27,0,1914,1914,10,27,USA
John Thomas,1904-09-30,12,1932,1944,9,30,USA
Kim Bryant,1953-04-05,1,1980,1981,4,5,USA
Lloyd Cecil,1950-05-08,6,1969,1975,5,8,USA
Logan Shane,1997-05-23,0,2019,2019,5,23,USA
Lucas Gale,1978-08-04,1,2002,2003,8,4,USA
Myron Smith,1854-03-22,5,1883,1888,3,22,USA
Neil Patrick,1958-01-24,10,1979,1989,1,24,USA
Artemus Ward,1888-09-14,6,1914,1920,9,14,USA
Jesse Hall,1868-05-01,0,1893,1893,5,1,USA
Ronald Frederick,1943-12-23,0,1972,1972,12,23,USA
Roderick Bernet,1959-10-05,5,1983,1988,10,5,USA
Fletcher Manson,1886-08-23,0,1910,1910,8,23,USA
Leonard Eugene,1940-07-10,10,1963,1973,7,10,USA
Robert George,1952-05-01,0,1975,1975,5,1,USA
Gair Roosevelt,1931-10-28,0,1954,1954,10,28,USA
Arthur Algernon,1849-01-29,5,1871,1876,1,29,USA
William,1850-07-16,0,1872,1872,7,16,USA
William Robert,1934-07-11,12,1958,1970,7,11,USA
Dana Eric,1966-08-14,0,1991,1991,8,14,USA
Douglas L.,1846-07-12,12,1871,1883,7,12,USA
Mack Pendleton,1887-01-23,2,1911,1913,1,23,USA
Milo Henry,1890-10-16,4,1913,1917,10,16,USA
Dale LeBeau,1965-06-04,2,1989,1991,6,4,USA
Baldomero Melo,1913-02-07,6,1933,1939,2,7,Mexico
Armando,1972-10-26,6,1999,2005,10,26,USA
Carlos Manuel,1973-11-06,8,1997,2005,11,6,D.R.
Rafael D.,1887-06-30,2,1911,1913,6,30,Cuba
Abraham,1989-06-27,6,2013,2019,6,27,D.R.
William Francis,1952-11-21,14,1974,1988,11,21,USA
Edwin,1976-12-17,0,2003,2003,12,17,D.R.
Erick R.,1978-02-01,10,2001,2011,2,1,D.R.
Hector Radhames,1975-10-17,4,1999,2003,10,17,D.R.
Miguel Emilio,1993-04-04,3,2015,2018,4,4,D.R.
Yency,1994-06-04,1,2018,2019,6,4,USA
Zoilo Manuel,1989-06-10,1,2013,2014,6,10,D.R.
Reinaldo Albert,1994-04-16,3,2016,2019,4,16,USA
Luis,1923-06-19,3,1950,1953,6,19,Cuba
Roberto,1968-02-05,16,1988,2004,2,5,P.R.
Santos,1943-10-19,14,1964,1978,10,19,P.R.
Santos,1966-06-18,19,1988,2007,6,18,P.R.
Peter Morgan,1994-12-07,0,2019,2019,12,7,USA
Yonder,1987-04-08,9,2010,2019,4,8,Cuba
Felipe Rojas,1935-05-12,16,1958,1974,5,12,D.R.
Jesus Maria Rojas,1942-03-24,16,1963,1979,3,24,D.R.
Mateo Rojas,1938-12-22,14,1960,1974,12,22,D.R.
Moises Rojas,1966-07-03,18,1990,2008,7,3,USA
Charles Augustus,1879-11-10,3,1906,1909,11,10,USA
Wendell,1952-09-22,3,1977,1980,9,22,USA
Garvin James,1971-12-08,0,1996,1996,12,8,USA
Thomas Edison,1926-01-31,3,1954,1957,1,31,USA
Walter Emmons,1911-12-01,0,1936,1936,12,1,USA
Porfirio,1952-05-17,2,1982,1984,5,17,Nicaragua
Daniel,1992-09-08,3,2016,2019,9,8,USA
Ernest Matthias,1894-12-01,0,1920,1920,12,1,USA
Jesse Howard,1893-01-02,1,1916,1917,1,2,USA
Aaron Samuel,1991-01-14,5,2014,2019,1,14,Germany
David Tilden,1876-11-06,5,1906,1911,11,6,USA
George Lee,1933-03-20,8,1959,1967,3,20,USA
Joseph Salvatore,1932-05-26,6,1955,1961,5,26,USA
Nicholas,1876-09-15,35,1898,1933,9,15,USA
Jose Carlos,1990-05-06,8,2011,2019,5,6,Venezuela
George Joseph,1935-02-11,6,1958,1964,2,11,USA
Abraham,1982-10-17,2,2004,2006,10,17,USA
Clemente Rafael,1968-05-18,0,2000,2000,5,18,Venezuela
Dario Rafael,1989-01-17,3,2014,2017,1,17,D.R.
Dariel,1988-11-07,1,2015,2016,11,7,Cuba
Gabriel de Jesus,1974-03-06,2,1998,2000,3,6,Mexico
Henderson Javier,1990-04-18,6,2011,2017,4,18,Venezuela
Jose Lino,1956-04-12,8,1981,1989,4,12,USA
Jose Ricardo,1989-05-06,6,2013,2019,5,6,Venezuela
Jose Antonio,1995-05-21,2,2017,2019,5,21,Venezuela
Juan M.,1973-08-09,4,1999,2003,8,9,USA
Luis Cesar,1949-01-15,9,1968,1977,1,15,P.R.
Jesus Manuel Orlando,1952-02-28,3,1973,1976,2,28,P.R.
Oswaldo,1933-10-19,1,1958,1959,10,19,Cuba
Pedro Manuel,1987-02-06,8,2010,2018,2,6,D.R.
Roy Emilio,1991-06-08,1,2014,2015,6,8,USA
Rogelio,1938-04-18,2,1960,1962,4,18,Cuba
Cesar Octavio,1971-11-25,1,1995,1996,11,25,Mexico
Antonio Enrique,1979-05-10,2,2002,2004,5,10,Venezuela
Victor Aurelio,1976-11-08,1,2002,2003,11,8,Mexico
Wilson Eduardo,1970-03-24,16,1989,2005,3,24,Venezuela
Yordan Ruben,1997-06-27,0,2019,2019,6,27,Cuba
Roy Maxwell,1938-02-02,8,1962,1970,2,2,USA
William Crawford,1863-08-10,8,1885,1893,8,10,USA
Garrabrant Ryerson,1940-12-08,7,1965,1972,12,8,USA
Adbert Marcelo,1995-03-01,0,2019,2019,3,1,Venezuela
John Joseph,1934-01-23,13,1954,1967,1,23,USA
Richard Louis,1962-04-01,9,1991,2000,4,1,USA
Alexi Jose,1989-04-06,6,2011,2017,4,6,Venezuela
Ruben,1936-01-06,11,1958,1969,1,6,Mexico
Ruben,1965-02-12,7,1991,1998,2,12,USA
Wayne Harper,1915-11-08,2,1937,1939,11,8,USA
Raymond Payne,1979-12-19,3,2005,2008,12,19,USA
Hector,1984-05-24,4,2010,2014,5,24,USA
Edward Allen,1959-04-13,2,1984,1986,4,13,USA
Leon Kessling,1882-08-02,16,1903,1919,8,2,USA
Steven C.,1988-03-15,0,2013,2013,3,15,USA
Alfredo,1978-01-16,9,2002,2011,1,16,Mexico
Morris F.,1874-01-01,1,1897,1898,1,1,USA
Edmundo,1930-01-30,8,1952,1960,1,30,Cuba
Vicente,1932-08-08,2,1955,1957,8,8,Cuba
Walter,1893-04-10,0,1915,1915,4,10,USA
Alfred Walton,1914-01-28,5,1941,1946,1,28,USA
Allan Lee,1964-01-07,5,1986,1991,1,7,USA
Andy Holm,1922-11-13,1,1948,1949,11,13,USA
William Edward,1895-11-28,0,1925,1925,11,28,USA
Robert Carl,1935-09-29,6,1957,1963,9,29,USA
Brady Kevin,1964-01-18,14,1988,2002,1,18,USA
Brian James,1972-04-26,12,1993,2005,4,26,USA
Brian Nikola,1982-03-11,4,2005,2009,3,11,USA
Brett Franklin,1988-02-01,10,2009,2019,2,1,USA
Bryan Douglas,1986-12-16,5,2010,2015,12,16,USA
Brian Wade,1993-05-19,2,2017,2019,5,19,USA
Karl Adam,1956-05-27,1,1982,1983,5,27,USA
Robert Chase,1987-11-30,5,2014,2019,11,30,USA
Cody Andrew,1990-09-14,4,2015,2019,9,14,USA
Norman Craig,1938-07-01,3,1961,1964,7,1,USA
David S.,1868-10-10,1,1889,1890,10,10,USA
David Carter,1960-08-01,9,1983,1992,8,1,USA
Drew Thomas,1981-06-09,0,2006,2006,6,9,USA
Andrew James,1994-03-22,2,2017,2019,3,22,USA
Dwain Cleaven,1947-11-23,3,1971,1974,11,23,USA
Ferrell Jack,1918-01-09,7,1946,1953,1,9,USA
John Frederick,1885-12-11,9,1909,1918,12,11,USA
Garret Joseph,1972-06-30,16,1994,2010,6,30,USA
George Jendrus,1889-09-26,4,1914,1918,9,26,USA
Edward John,1880-01-13,0,1907,1907,1,13,USA
Harold,1904-02-10,0,1932,1932,2,10,USA
Harry Walter,1931-09-10,4,1957,1961,9,10,USA
Jason Roger,1979-06-09,2,2003,2005,6,9,USA
James Lea,1957-02-23,6,1978,1984,2,23,USA
James Drew,1976-01-22,5,1999,2004,1,22,USA
John Joseph,1873-12-14,14,1894,1908,12,14,Norway
John Charles,1929-11-23,4,1958,1962,11,23,USA
Joshua Aaron,1982-08-10,2,2007,2009,8,10,USA
Justin Charles,1992-09-28,1,2018,2019,9,28,USA
Kent McKay,1963-08-12,1,1989,1990,8,12,USA
Lawrence Dennis,1952-12-03,3,1974,1977,12,3,USA
Larry Eugene,1953-05-06,19,1975,1994,5,6,USA
Lars Eric,1987-09-25,2,2010,2012,9,25,USA
Matthew Jason,1976-08-17,7,1998,2005,8,17,USA
Marlon Ordell,1974-01-06,11,1998,2009,1,6,USA
Michael Allen,1951-06-22,8,1971,1979,6,22,USA
Michael James,1966-07-30,0,1993,1993,7,30,USA
Nick Paul,1990-07-05,0,2019,2019,7,5,USA
Arnold Revola,1912-06-19,4,1937,1941,6,19,USA
Richard Lee,1953-12-25,1,1979,1980,12,25,USA
Richard Arlen,1956-11-29,2,1986,1988,11,29,USA
Scott Richard,1962-08-01,8,1987,1995,8,1,USA
Shaun,1994-10-29,0,2019,2019,10,29,USA
George Lee,1934-02-22,0,1959,1959,2,22,USA
Tanner Ackley,1993-05-27,1,2018,2019,5,27,USA
Timothy Devon,1993-06-23,3,2016,2019,6,23,USA
Tyler John,1989-12-30,3,2016,2019,12,30,USA
Warner Samuel,1866-06-18,7,1889,1896,6,18,USA
Walter Carl,1897-09-25,2,1917,1919,9,25,USA
Wingo Charlie,1886-08-13,0,1910,1910,8,13,USA
Robert Lazaro,1984-04-25,11,2005,2016,4,25,USA
Stephen Michael,1978-02-06,0,2006,2006,2,6,USA
Clayton John,1978-05-15,0,2000,2000,5,15,USA
George Edward,1859-04-05,7,1884,1891,4,5,USA
Elbert DeVore,1901-12-11,0,1925,1925,12,11,USA
Ernest Henry,1918-01-11,0,1946,1946,1,11,USA
Fred,1952-05-04,1,1976,1977,5,4,USA
Hubert Carl,1922-08-31,1,1947,1948,8,31,USA
Ivy Paul,1907-05-06,7,1931,1938,5,6,USA
James Pratt,1865-06-05,0,1890,1890,6,5,USA
John Edward,1923-01-03,0,1955,1955,1,3,USA
John Richard,1949-02-09,0,1973,1973,2,9,USA
John Francis,1990-06-09,0,2018,2018,6,9,USA
Kim Darrell,1953-11-14,0,1975,1975,11,14,USA
Michael Jay,1943-07-09,7,1966,1973,7,9,USA
Nathan Hardy,1913-09-30,9,1937,1946,9,30,USA
Robert Patrick,1952-12-11,4,1975,1979,12,11,USA
Darrell Shane,1971-08-28,7,1995,2002,8,28,USA
Stanley Joseph,1917-04-17,6,1939,1945,4,17,USA
William Walter,1859-09-18,4,1884,1888,9,18,USA
Matthew Lee,1989-08-28,4,2015,2019,8,28,USA
William Morgan,1907-07-25,6,1931,1937,7,25,USA
Elvis Augusto,1988-08-26,10,2009,2019,8,26,Venezuela
Frederick Hotham,1850-08-23,8,1876,1884,8,23,USA
William Wiman,1858-10-14,0,1885,1885,10,14,CAN
Joaquin,1952-12-21,12,1976,1988,12,21,D.R.
Luis,1972-11-22,3,1995,1998,11,22,D.R.
Miguel Enrique,1995-03-02,2,2017,2019,3,2,D.R.
Norman Stanley,1947-09-24,1,1972,1973,9,24,USA
Matthew Ryan,1985-09-10,0,2011,2011,9,10,USA
Thomas Samuel,1904-10-02,0,1929,1929,10,2,USA
Frederick Norman,1912-12-23,8,1936,1944,12,23,USA
Richard Alexander,1979-07-19,14,1999,2013,7,19,USA
Dean William,1986-11-24,1,2014,2015,11,24,USA
William Perley,1857-05-24,0,1884,1884,5,24,USA
Adrian Constantine,1852-04-17,26,1871,1897,4,17,USA
Eric Todd,1967-11-08,8,1989,1997,11,8,USA
Dustin Kamakana Mai Ku'u Makualani,1989-08-09,0,2016,2016,8,9,USA
Joseph,1916-04-11,0,1944,1944,4,11,USA
William James,1927-05-19,0,1953,1953,5,19,USA
John Lawrence,1915-07-15,1,1944,1945,7,15,USA
John August,1930-04-12,13,1948,1961,4,12,USA
Matthew Antonio,1985-04-08,0,2008,2008,4,8,USA
Norichika,1982-01-05,5,2012,2017,1,5,Japan
Luis Ernesto,1934-04-29,17,1956,1973,4,29,Venezuela
Robert John,1950-01-31,4,1973,1977,1,31,USA
Luis Eduardo,1953-06-14,4,1980,1984,6,14,Venezuela
Robert Kevin,1967-12-06,15,1989,2004,12,6,USA
Edward Samuel,1892-02-29,1,1915,1916,2,29,USA
Frederick Romaine,1879-05-09,0,1904,1904,5,9,USA
Peter William,1904-05-20,18,1927,1945,5,20,USA
Lucius Benjamin,1907-04-02,20,1930,1950,4,2,USA
Aristides,1994-04-22,1,2018,2019,4,22,D.R.
Gregori Emilio,1978-01-11,5,2004,2009,1,11,D.R.
Jayson Julio,1992-11-22,1,2016,2017,11,22,D.R.
Luis Antonio,1964-05-19,9,1986,1995,5,19,P.R.
Angel,1890-08-02,3,1914,1917,8,2,Cuba
Angel Valdes,1915-11-20,0,1941,1941,11,20,Cuba
Victor Teodoro,1995-02-07,2,2017,2019,2,7,Mexico
Elvis Alejandro,1991-07-15,1,2015,2016,7,15,Venezuela
Pedro,1993-07-02,1,2018,2019,7,2,D.R.
Maurice John,1898-12-14,2,1923,1925,12,14,USA
Christopher Alan,1988-09-26,7,2012,2019,9,26,USA
Frederick Marvin,1910-03-07,1,1936,1937,3,7,USA
James Patrick,1883-05-13,14,1904,1918,5,13,Ireland
James William,1932-05-25,1,1961,1962,5,25,USA
George Albert,1914-04-27,8,1938,1946,4,27,USA
Francisco Antonio,1989-09-14,0,2018,2018,9,14,Venezuela
Jose Raimundo,1943-08-22,2,1968,1970,8,22,Cuba
Orlando Jesus,1994-08-04,3,2016,2019,8,4,Venezuela
Oswaldo Celestino,1991-05-09,3,2013,2016,5,9,Venezuela
Daniel Miers,1941-05-27,0,1961,1961,5,27,USA
Rinaldo Joseph,1919-11-20,0,1947,1947,11,20,Italy
Joseph A.,1858-02-27,6,1884,1890,2,27,USA
Daniel Wayne,1974-07-08,8,2000,2008,7,8,USA
Frank Julian,1882-01-28,2,1908,1910,1,28,USA
Nolan James,1991-04-16,6,2013,2019,4,16,USA
Jonathan Paul,1986-01-05,5,2010,2015,1,5,USA
Henry Irven,1922-01-28,4,1948,1952,1,28,USA
Alejandro,1967-11-20,10,1992,2002,11,20,USA
Alberto A.,1983-10-14,2,2007,2009,10,14,D.R.
George Alberto,1972-03-12,3,1996,1999,3,12,USA
Joaquin,1984-09-21,9,2006,2015,9,21,D.R.
Rodolfo,1931-06-06,0,1959,1959,6,6,Cuba
Russell Loris,1899-01-03,0,1931,1931,1,3,USA
Donald Louis,1943-02-15,1,1965,1966,2,15,USA
Stephen Ralph,1945-09-25,5,1969,1974,9,25,USA
