player,birthday,yrs
Duane Klueh,1926-01-06,2
Freddie Lewis,1921-01-06,2
Tom Marshall,1931-01-06,4
Pearl Washington,1964-01-06,3
Jordan Bell,1995-01-07,3
Jesse Branson,1942-01-07,2
JamesOn Curry,1986-01-07,1
Marquis Daniels,1981-01-07,10
Todd Day,1970-01-07,8
Reece Gaines,1981-01-07,3
Dan King,1931-01-07,1
Johnny Macknowski,1923-01-07,2
Don Rehfeldt,1927-01-07,2
Deb Smith,1920-01-07,1
Jarnell Stokes,1994-01-07,3
Trevor Winter,1974-01-07,1
Willie Anderson,1967-01-08,9
Tony Bradley,1998-01-08,3
Ignas Brazdeikis,1999-01-08,1
Bill Closs,1922-01-08,3
Hook Dillon,1924-01-08,1
Chris Douglas-Roberts,1987-01-08,6
Cedrick Hordges,1957-01-08,2
Greg Howard,1948-01-08,2
Todd Lichti,1967-01-08,5
Kevin McKenna,1959-01-08,6
Calvin Natt,1957-01-08,11
Larry Owens,1983-01-08,2
Glenn Robinson,1994-01-08,6
Greg Smith,1991-01-08,5
Sam Smith,1955-01-08,2
Granville Waiters,1961-01-08,5
Michael Beasley,1989-01-09,11
Muggsy Bogues,1965-01-09,14
M.L. Carr,1951-01-09,10
Fred Diute,1929-01-09,1
Sharrod Ford,1982-01-09,1
Bobby Jones,1984-01-09,2
Terrence Jones,1992-01-09,6
Luka Šamanić,2000-01-09,1
Samardo Samuels,1989-01-09,3
Aaron Swinson,1971-01-09,1
A.J. Bramlett,1977-01-10,1
George Carter,1944-01-10,8
Carl Fuller,1946-01-10,2
Georgi Glouchkov,1960-01-10,1
Herm Hedderick,1930-01-10,1
Glenn Robinson,1973-01-10,11
Tremont Waters,1998-01-10,1
Bud Acton,1942-01-11,1
Tony Allen,1982-01-11,14
Wally Anderzunas,1946-01-11,1
Chris Boucher,1993-01-11,3
Gary Brokaw,1954-01-11,4
Darryl Dawkins,1957-01-11,14
Chris Ford,1949-01-11,10
Chris Jent,1970-01-11,2
Terence Morris,1979-01-11,3
Efthimi Rentzias,1976-01-11,1
Larry Robinson,1968-01-11,7
Andre Wakefield,1955-01-11,2
Damien Wilkins,1980-01-11,10
Jamel Artis,1993-01-12,1
Arthur Becker,1942-01-12,6
Scott Burrell,1971-01-12,8
Bonzie Colson,1996-01-12,1
Robert Hite,1984-01-12,1
Charles Jones,1962-01-12,4
Joe Kennedy,1947-01-12,3
Hamady N'Diaye,1987-01-12,3
Jim Ray,1934-01-12,2
Campy Russell,1952-01-12,9
Claude Terry,1950-01-12,6
Dominique Wilkins*,1960-01-12,15
Henry Ellenson,1997-01-13,4
Tom Gola*,1933-01-13,10
Art Harris,1947-01-13,4
Vern Hatton,1936-01-13,4
Earl Jones,1961-01-13,2
Alec Kessler,1967-01-13,4
James Posey,1977-01-13,12
Jason Sasser,1974-01-13,2
Ronny Turiaf,1983-01-13,10
Ron Behagen,1951-01-14,7
Hank Biasatti,1922-01-14,1
Mike Bloom,1915-01-14,2
Aaron Brooks,1985-01-14,10
Ray Corley,1928-01-14,3
Wayne Hightower,1940-01-14,10
John Lambert,1953-01-14,7
Jeff Martin,1967-01-14,2
Swen Nater,1950-01-14,11
David Nwaba,1993-01-14,4
Kenny Sailors,1921-01-14,5
Jeff Sanders,1966-01-14,4
Kadeem Allen,1993-01-15,3
Cliff Barker,1921-01-15,3
Bob Davies*,1920-01-15,7
Ernie DiGregorio,1951-01-15,5
Joe Graboski,1930-01-15,13
Jim Hadnot,1940-01-15,1
Nate Hawthorne,1950-01-15,3
Fred Hilton,1948-01-15,2
George King,1994-01-15,1
Don Kojis,1939-01-15,12
Pavel Podkolzin,1985-01-15,2
Roger Powell,1983-01-15,1
Donald Sloan,1988-01-15,5
Al Smith,1947-01-15,5
Ricky Sobers,1953-01-15,11
Felton Spencer,1968-01-15,12
Bobby Wilson,1951-01-15,4
Jeff Foster,1977-01-16,13
Gerald Henderson,1956-01-16,13
Cedric Hunter,1965-01-16,1
Ervin Inniger,1945-01-16,2
Marc Jackson,1975-01-16,7
Randell Jackson,1976-01-16,2
C.J. Kupec,1953-01-16,3
Don MacLean,1970-01-16,9
Ron Moore,1962-01-16,1
Zhou Qi,1996-01-16,2
Justin Reed,1982-01-16,3
Mel Thurston,1919-01-16,1
Greivis Vásquez,1987-01-16,7
Earl Clark,1988-01-17,6
Donnie Forman,1926-01-17,1
Tony Jackson,1958-01-17,1
Dirk Minniefield,1961-01-17,3
Barry Stevens,1963-01-17,1
Allonzo Trier,1996-01-17,2
Dwyane Wade,1982-01-17,16
Casper Ware,1990-01-17,1
Sam Worthen,1958-01-17,2
Tyler Zeller,1990-01-17,8
Junior Burrough,1973-01-18,1
Gorgui Dieng,1990-01-18,7
Bob Hansen,1961-01-18,9
Cozell McQueen,1962-01-18,1
Larry Smith,1958-01-18,13
Bud Stallworth,1950-01-18,5
Gary Suiter,1945-01-18,1
Gary Trent,1999-01-18,2
Michael Adams,1963-01-19,11
Marty Conlon,1968-01-19,9
Dillard Crocker,1925-01-19,4
Grant Gondrezick,1963-01-19,2
Tito Horford,1966-01-19,3
Luc Longley,1969-01-19,10
Arvydas Macijauskas,1980-01-19,1
JaVale McGee,1988-01-19,12
Gary Melchionni,1951-01-19,2
Bill Mlkvy,1931-01-19,1
Buddy O'Grady,1920-01-19,3
Phil Rollins,1934-01-19,3
Clinton Smith,1964-01-19,2
Andy Toolson,1966-01-19,2
Nick Anderson,1968-01-20,13
Paul Griffin,1954-01-20,7
Ron Harper,1964-01-20,15
Tyler Herro,2000-01-20,1
Bailey Howell*,1937-01-20,12
Chris Morris,1966-01-20,11
Ira Newble,1975-01-20,8
Jason Richardson,1981-01-20,13
David Rivers,1965-01-20,3
Bill Robinzine,1953-01-20,7
Dick Rosenthal,1930-01-20,2
Norm Stewart,1935-01-20,1
Clint Wager,1920-01-20,1
Alex Acker,1983-01-21,2
Doug Edwards,1971-01-21,3
Jack Eskridge,1924-01-21,1
Sidney Lowe,1960-01-21,4
Kenny McIntosh,1949-01-21,4
Howard Nathan,1972-01-21,1
Hakeem Olajuwon*,1963-01-21,18
Chuck Osborne,1939-01-21,1
Clifford Ray,1949-01-21,10
Michael Ruffin,1977-01-21,9
Detlef Schrempf,1963-01-21,16
Tom Stith,1939-01-21,1
Mike Taylor,1986-01-21,1
Dillon Brooks,1996-01-22,3
Larry Conley,1944-01-22,1
Quintin Dailey,1961-01-22,10
Jackie Dinkins,1950-01-22,1
Mike Iuzzolino,1968-01-22,2
Greg Oden,1988-01-22,3
Leon Powe,1984-01-22,5
Lennie Rosenbluth,1933-01-22,2
Frank Schade,1950-01-22,1
Xavier Silas,1988-01-22,2
Bill Stricker,1948-01-22,1
Stojko Vranković,1964-01-22,5
Sam Williams,1945-01-22,2
Keita Bates-Diop,1996-01-23,2
Joe Colone,1924-01-23,1
Tom Hoover,1941-01-23,5
Larry Hughes,1979-01-23,13
Bob McIntyre,1944-01-23,2
John Pritchard,1927-01-23,1
Frankie Sanders,1957-01-23,2
Stan Washington,1952-01-23,1
Haywoode Workman,1966-01-23,8
Lonnie Wright,1945-01-23,5
Red Dehnert,1924-01-24,1
Fennis Dembo,1966-01-24,1
Mark Eaton,1957-01-24,11
Trey Gilder,1985-01-24,1
Justin James,1997-01-24,1
Stevin Smith,1972-01-24,1
DaJuan Summers,1988-01-24,4
Kelvin Upshaw,1963-01-24,3
Ed Beach,1929-01-25,1
Byron Beck,1945-01-25,10
Tim Kempton,1964-01-25,8
Acie Law,1985-01-25,4
Dick McGuire*,1926-01-25,11
Chris Mills,1970-01-25,10
George Nostrand,1924-01-25,4
Ralph Ogden,1948-01-25,1
Bob Peterson,1932-01-25,3
Richard Petruška,1969-01-25,1
Josh Powell,1983-01-25,7
Rollie Seltz,1924-01-25,1
Zeke Sinicola,1929-01-25,2
Walt Wesley,1945-01-25,10
Randy Allen,1965-01-26,2
MarShon Brooks,1989-01-26,5
Vince Carter,1977-01-26,22
Ronald Dupree,1981-01-26,6
Bob Ford,1950-01-26,1
Darius Garland,2000-01-26,1
Gerald Green,1986-01-26,12
Montrezl Harrell,1994-01-26,5
Tom Henderson,1952-01-26,9
Reggie Jordan,1968-01-26,6
Nicolò Melli,1991-01-26,1
Bob O'Brien,1927-01-26,2
Hubie White,1940-01-26,4
Sly Williams,1958-01-26,7
Vann Williford,1948-01-26,1
Lonny Baxter,1979-01-27,4
Wesley Cox,1955-01-27,2
Harry Davis,1956-01-27,2
Jack Haley,1964-01-27,9
Frank Kornet,1967-01-27,2
Russ Lee,1950-01-27,3
Todd MacCulloch,1976-01-27,4
Johan Petro,1986-01-27,8
Connie Rea,1931-01-27,1
Sam Smith,1944-01-27,4
Jiří Welsch,1980-01-27,4
Tony Windis,1933-01-27,1
Jerome Allen,1973-01-28,2
Joel Bolomboy,1994-01-28,2
Jim Bostic,1953-01-28,1
Michael Cage,1962-01-28,15
Jim Caldwell,1943-01-28,2
Omar Cook,1982-01-28,2
Tony Delk,1974-01-28,10
Andre Iguodala,1984-01-28,16
Carldell Johnson,1983-01-28,1
Mark Madsen,1976-01-28,9
Greg Smith,1947-01-28,8
Joe Stephens,1973-01-28,3
Fred Vinson,1971-01-28,2
Alan Williams,1993-01-28,4
Greg Ballard,1955-01-29,11
Nathaniel Barnett,1953-01-29,1
Markel Brown,1992-01-29,3
Dexter Cambridge,1970-01-29,1
Marc Gasol,1985-01-29,12
Tom Hagan,1947-01-29,2
Bob Hogsett,1941-01-29,2
Eddie Jordan,1955-01-29,7
Stacey King,1967-01-29,8
Maxi Kleber,1992-01-29,3
Shawn Long,1993-01-29,1
Marv Roberts,1950-01-29,6
Jonathan Bender,1981-01-30,8
Ernie Calverley,1924-01-30,3
DeSagana Diop,1982-01-30,12
Swede Halbrook,1933-01-30,2
Nat Hickey,1902-01-30,1
Harold Johnson,1920-01-30,1
Jack Kerris,1925-01-30,4
Curtis Kitchen,1964-01-30,1
Paul Neumann,1938-01-30,6
Rick Robey,1956-01-30,8
Jalen Rose,1973-01-30,13
Paul Seymour,1928-01-30,12
Otis Smith,1964-01-30,6
Mychal Thompson,1955-01-30,12
Slavko Vraneš,1983-01-30,1
Henry Ward,1952-01-30,2
Sharone Wright,1973-01-30,4
Barry Yates,1946-01-30,1
Deonte Burton,1994-01-31,2
Len Chappell,1941-01-31,10
Ed Dahler,1926-01-31,1
Donte DiVincenzo,1997-01-31,2
Johnny Egan,1939-01-31,11
Dick Garrett,1947-01-31,5
Othella Harrington,1974-01-31,12
Phil Hicks,1953-01-31,2
Rod Higgins,1960-01-31,13
Kenny Higgs,1955-01-31,3
Tom Hovasse,1967-01-31,1
Charles Jordan,1954-01-31,1
Nicolás Laprovíttola,1990-01-31,1
Hal Lear,1935-01-31,1
Jalen McDaniels,1998-01-31,1
Larry McNeill,1951-01-31,6
Tyrone Nesby,1976-01-31,4
Jameel Warney,1994-01-31,1
Deng Adel,1997-02-01,1
Walter Bond,1969-02-01,3
Branden Dawson,1993-02-01,1
Andrew DeClercq,1973-02-01,10
Marcus Derrickson,1996-02-01,1
T.R. Dunn,1955-02-01,14
Drew Eubanks,1997-02-01,2
George Irvine,1948-02-01,6
Ken Johnson,1978-02-01,1
Lari Ketner,1977-02-01,2
Kevin Martin,1983-02-01,12
Walter McCarty,1974-02-01,10
Eric Mobley,1970-02-01,3
Malik Sealy,1970-02-01,8
Dick Snyder,1944-02-01,13
Brett Szabo,1968-02-01,1
Robert Traylor,1977-02-01,7
Lance Allred,1981-02-02,1
Morris Almond,1985-02-02,3
Jerry Bird,1935-02-02,1
Charlie Brown,1997-02-02,1
Antonius Cleveland,1994-02-02,2
Franklin Edwards,1959-02-02,7
Sean Elliott,1968-02-02,12
Dan Gadzuric,1978-02-02,10
Chris Garner,1975-02-02,2
Sean Green,1970-02-02,3
Scott Haffner,1966-02-02,2
Steve Henson,1968-02-02,7
Robin Jones,1954-02-02,2
Clarence Kea,1959-02-02,2
Al Miksis,1928-02-02,1
Richard Morton,1966-02-02,1
Warren Perkins,1922-02-02,2
Elmer Behnke,1929-02-03,1
Jim Brasco,1931-02-03,1
Vlade Divac*,1968-02-03,16
Bruce Kuczenski,1961-02-03,1
Paul Napolitano,1923-02-03,1
Robert Pack,1969-02-03,13
Norvel Pelle,1993-02-03,1
Isaiah Roby,1998-02-03,1
Darnell Valentine,1959-02-03,9
Thomas Welsh,1996-02-03,1
Al Williams,1948-02-03,1
Lavoy Allen,1989-02-04,6
Gerry Calabrese,1925-02-04,2
Jo Jo English,1970-02-04,3
Vern Fleming,1962-02-04,12
Orien Greene,1982-02-04,4
Neil Johnston*,1929-02-04,8
Jason Kapono,1981-02-04,9
Jim Loscutoff,1930-02-04,9
Guy Manning,1944-02-04,2
Malik Monk,1998-02-04,3
Ivan Rabb,1997-02-04,2
Dajuan Wagner,1983-02-04,4
Lee Winfield,1947-02-04,7
John Beasley,1944-02-05,7
Ron Filipek,1944-02-05,1
Jim Garvin,1950-02-05,1
Coulby Gunther,1923-02-05,2
Dennis Horner,1988-02-05,1
Rodions Kurucs,1998-02-05,2
Maciej Lampe,1985-02-05,3
Al Masino,1928-02-05,2
Chris McCullough,1995-02-05,3
Gaylon Nickerson,1969-02-05,1
Chasson Randle,1993-02-05,3
Terrence Ross,1991-02-05,8
Fred Taylor,1948-02-05,2
Corny Thompson,1960-02-05,1
Danny Doyle,1940-02-06,1
Jonny Flynn,1989-02-06,3
Don Hanrahan,1929-02-06,1
Jerome Harmon,1969-02-06,1
Kris Humphries,1985-02-06,13
John Kuester,1955-02-06,3
Kevon Looney,1996-02-06,5
Eric Money,1955-02-06,6
Shawn Respert,1972-02-06,4
Carlos Rogers,1971-02-06,8
C.J. Williams,1990-02-06,2
Antoine Wright,1984-02-06,6
Tim Young,1976-02-06,1
Dalibor Bagarić,1980-02-07,3
Nick Calathes,1989-02-07,2
Joel Freeland,1987-02-07,3
Juwan Howard,1973-02-07,19
Bernard James,1985-02-07,3
Eric Johnson,1966-02-07,1
Jim King,1941-02-07,10
Fred LaCour,1938-02-07,3
Don Martin,1920-02-07,3
Dwayne McClain,1963-02-07,1
Matt Mooney,1997-02-07,1
Steve Nash*,1974-02-07,18
Mike O'Koren,1958-02-07,8
Milt Palacio,1978-02-07,7
Mickaël Piétrus,1982-02-07,10
Cameron Reynolds,1995-02-07,1
Stanley Roberts,1970-02-07,8
Dick Shrider,1923-02-07,1
Isaiah Thomas,1989-02-07,9
Kevin Thompson,1971-02-07,1
Rick Wilson,1956-02-07,2
Willie Allen,1949-02-08,1
Michael Ansley,1967-02-08,3
Donnie Butcher,1936-02-08,5
Will Cherry,1991-02-08,1
Stephen Chubin,1944-02-08,3
Jerry Eaves,1959-02-08,4
Warren Fenley,1922-02-08,1
Thomas Gardner,1985-02-08,2
Rui Hachimura,1998-02-08,1
Alexander Johnson,1983-02-08,2
JaJuan Johnson,1989-02-08,1
Marques Johnson,1956-02-08,11
Paul Long,1944-02-08,4
Scooter McCray,1960-02-08,3
Alonzo Mourning*,1970-02-08,15
Klay Thompson,1990-02-08,8
John Abramovic,1919-02-09,2
Maurice Ager,1984-02-09,4
Winston Bennett,1965-02-09,3
Tyler Cavanaugh,1994-02-09,2
Kenny Fields,1962-02-09,4
Phil Ford,1956-02-09,7
Al Henry,1949-02-09,2
Doug Holcomb,1925-02-09,1
K.J. McDaniels,1993-02-09,3
Jameer Nelson,1982-02-09,14
Stephen Previs,1950-02-09,1
George Stone,1946-02-09,4
Derek Strong,1968-02-09,10
John Wallace,1974-02-09,7
Jeff Adrien,1986-02-10,5
Josh Akognon,1986-02-10,1
Sterling Brown,1995-02-10,3
Josh Jackson,1997-02-10,3
Abdul Jeelani,1954-02-10,2
Jumaine Jones,1979-02-10,8
Andy Kostecka,1921-02-10,1
Tom LaGarde,1955-02-10,6
Paul Millsap,1985-02-10,14
Zaza Pachulia,1984-02-10,16
Bobby Portis,1995-02-10,5
Glynn Saulters,1945-02-10,1
Chips Sobek,1920-02-10,1
Diamond Stone,1997-02-10,1
Bruno Šundov,1980-02-10,7
Jared Terrell,1995-02-10,1
Tony Battie,1976-02-11,14
Boo Ellis,1936-02-11,2
Calvin Fowler,1940-02-11,1
Billy James,1950-02-11,1
Nassir Little,2000-02-11,1
Ben McLemore,1993-02-11,7
Darnell Mee,1971-02-11,2
Nikola Mirotić,1991-02-11,5
Dyron Nix,1967-02-11,1
Jeremy Richardson,1984-02-11,3
Lee Robbins,1922-02-11,2
Sam Sibert,1949-02-11,1
James Silas,1949-02-11,10
Alando Tucker,1984-02-11,3
Jacque Vaughn,1975-02-11,12
Al Cervi*,1917-02-12,4
Dell Demps,1970-02-12,3
Hank DeZonie,1922-02-12,1
A.J. Guyton,1978-02-12,3
Josh Harrellson,1989-02-12,3
Tom Ingelsby,1951-02-12,3
Tom Kropp,1953-02-12,2
Larry Nance,1959-02-12,13
Jerry Pender,1950-02-12,1
Scot Pollard,1975-02-12,11
Bill Russell*,1934-02-12,13
Jabari Smith,1977-02-12,4
Keith Appling,1992-02-13,1
Elmer Bennett,1970-02-13,3
J.R. Giddens,1985-02-13,2
Chris Jefferies,1980-02-13,2
Dan Kraus,1923-02-13,1
Michael McDonald,1969-02-13,1
Ed Melvin,1916-02-13,1
Jerry Pettway,1944-02-13,2
Kendall Rhine,1943-02-13,2
Jackie Ridgle,1948-02-13,1
Luke Ridnour,1981-02-13,12
Jeryl Sasser,1979-02-13,2
Chris Babb,1990-02-14,1
Fred Carter,1945-02-14,8
Tyus Edney,1973-02-14,4
Jerry Fleishman,1922-02-14,5
Richard Hamilton,1978-02-14,14
Wali Jones,1942-02-14,11
Reggie King,1957-02-14,6
Carl McNulty,1930-02-14,1
Byron Mullens,1989-02-14,5
Gheorghe Mureșan,1971-02-14,6
Rodney Purvis,1994-02-14,1
Anthony Roberson,1983-02-14,3
William Smith,1949-02-14,2
Darius Songaila,1978-02-14,8
Dan Anderson,1943-02-15,2
Don Asmonga,1928-02-15,1
Eddie Basden,1983-02-15,1
Nate Blackwell,1965-02-15,1
Gene James,1925-02-15,3
Derrick Jones,1997-02-15,4
Mark Price,1964-02-15,12
Pete Verhoeven,1959-02-15,6
Tony White,1965-02-15,1
Larry Finch,1951-02-16,2
Gary Leonard,1967-02-16,3
Forrest McKenzie,1963-02-16,1
Craig Neal,1964-02-16,2
Martin Nessley,1965-02-16,1
Richard Rellford,1964-02-16,1
Pep Saul,1924-02-16,6
Hasheem Thabeet,1987-02-16,5
Kelly Tripucka,1959-02-16,10
Coby White,2000-02-16,1
Herb Williams,1958-02-16,18
Shawne Williams,1986-02-16,7
Qyntel Woods,1981-02-16,4
Stacey Arceneaux,1936-02-17,1
Norm Baker,1923-02-17,1
Drew Barry,1973-02-17,3
Gene Dyker,1930-02-17,1
Marcin Gortat,1984-02-17,12
Al Harrington,1980-02-17,16
Mike Higgins,1967-02-17,2
Michael Jordan*,1963-02-17,15
Ray Kuka,1922-02-17,2
Phil Pressey,1991-02-17,3
Bob Santini,1935-02-17,1
Gus Bailey,1951-02-18,5
Kentavious Caldwell-Pope,1993-02-18,7
Randy Denton,1949-02-18,6
Tyler Dorsey,1996-02-18,2
Pat Frink,1945-02-18,1
Jim Hayes,1948-02-18,1
Andrei Kirilenko,1981-02-18,13
Maurice Lucas,1952-02-18,14
Jason Maxiell,1983-02-18,10
Sylvester Norris,1957-02-18,1
Marv Schatzman,1927-02-18,1
Tom Sluby,1962-02-18,1
Bill Turner,1944-02-18,6
Kyle Weaver,1986-02-18,3
Fly Williams,1953-02-18,1
Marv Winkler,1948-02-18,2
Paul Zipser,1994-02-18,2
Lewis Brown,1955-02-19,1
Tommy Byrnes,1923-02-19,5
Nikola Jokić,1995-02-19,5
Walter Jordan,1956-02-19,1
Rudy Macklin,1958-02-19,3
Marlon Maxey,1969-02-19,2
Mike Miller,1980-02-19,17
Ed Nealy,1960-02-19,10
Adreian Payne,1991-02-19,4
Kosta Perović,1985-02-19,1
John Pinone,1961-02-19,1
Terrence Rencher,1973-02-19,1
Chico Vaughn,1940-02-19,8
Jeff Webster,1971-02-19,1
Jahidi White,1976-02-19,7
Jawad Williams,1983-02-19,3
D.J. Wilson,1996-02-19,3
Charles Barkley*,1963-02-20,16
Robert Churchwell,1972-02-20,1
Jarrett Culver,1999-02-20,1
James Johnson,1987-02-20,11
Stephon Marbury,1977-02-20,13
Rawle Marshall,1982-02-20,2
Ruben Nembhard,1972-02-20,1
Frank Oleynick,1955-02-20,2
Milt Wagner,1963-02-20,2
Erick Barkley,1978-02-21,2
Andre Barrett,1982-02-21,4
Steve Francis,1977-02-21,9
Donté Greene,1988-02-21,4
Malik Newman,1997-02-21,1
Gary Plummer,1962-02-21,2
Dennis Awtrey,1948-02-22,12
Archie Dees,1936-02-22,4
Chris Dudley,1965-02-22,16
Julius Erving*,1950-02-22,16
Gene Gallette,1919-02-22,1
Devonte' Graham,1995-02-22,2
Tony Jaros,1920-02-22,4
George Kaftan,1928-02-22,5
Adam Keefe,1970-02-22,9
Goose Ligon,1944-02-22,7
Lewis Lloyd,1959-02-22,7
Ted Manakas,1951-02-22,1
Leland Mitchell,1941-02-22,1
Lee Nailon,1975-02-22,6
Charles O'Bannon,1975-02-22,2
Elfrid Payton,1994-02-22,6
Jim Petersen,1962-02-22,8
Jerome Robinson,1997-02-22,2
Rajon Rondo,1986-02-22,14
Dick Van Arsdale,1943-02-22,12
Tom Van Arsdale,1943-02-22,12
Chet Walker*,1940-02-22,13
Jayson Williams,1968-02-22,9
Howie Wright,1947-02-22,2
Roger Brown,1950-02-23,5
Charles Edge,1950-02-23,2
Mal Graham,1945-02-23,2
Gary Gray,1945-02-23,1
Malik Hairston,1987-02-23,2
Armon Johnson,1989-02-23,2
Leary Lentz,1945-02-23,2
Ariel Maughan,1923-02-23,5
Dave Minor,1922-02-23,2
Jamal Murray,1997-02-23,4
Jeff Nordgaard,1973-02-23,1
D'Angelo Russell,1996-02-23,5
Lee Shaffer,1939-02-23,3
Dijon Thompson,1983-02-23,2
Darren Tillis,1960-02-23,2
Jamie Watson,1972-02-23,4
Andrew Wiggins,1995-02-23,6
Rodrigue Beaubois,1988-02-24,4
Moe Becker,1917-02-24,1
Corey Benjamin,1978-02-24,4
Jim Brogan,1958-02-24,2
Tom Burleson,1952-02-24,7
Eddie Johnson,1955-02-24,10
Kosta Koufos,1989-02-24,11
Al Tucker,1943-02-24,5
James Blackwell,1968-02-25,1
Nelson Bobb,1924-02-25,4
Antonio Burks,1980-02-25,2
Gary Forbes,1985-02-25,2
Jimmer Fredette,1989-02-25,6
Matt Guokas,1944-02-25,10
Mario Hezonja,1995-02-25,5
Donald Hodge,1969-02-25,5
Thon Maker,1997-02-25,4
E'Twaun Moore,1989-02-25,9
Joakim Noah,1985-02-25,13
Cincinnatus Powell,1942-02-25,8
Kurt Rambis,1958-02-25,14
Milt Schoon,1922-02-25,2
Gene Vance,1923-02-25,5
Fred VanVleet,1994-02-25,4
Samaki Walker,1976-02-25,10
Frank Williams,1980-02-25,3
Nikita Wilson,1964-02-25,1
Chuck Aleksinas,1959-02-26,1
Rolando Blackman,1959-02-26,13
Steve Blake,1980-02-26,13
Sasha Danilović,1970-02-26,2
Joe Holup,1934-02-26,3
Clint McDaniel,1972-02-26,1
Chuck Mrazovich,1924-02-26,1
Lavor Postell,1978-02-26,3
Tex Ritter,1924-02-26,3
Bingo Smith,1946-02-26,11
Jim Spruill,1923-02-26,1
Tim Thomas,1977-02-26,13
James Augustine,1984-02-27,2
David Gaines,1940-02-27,1
Daniel Gibson,1986-02-27,7
Walt Gilmore,1947-02-27,1
Chick Halbert,1919-02-27,5
Devin Harris,1983-02-27,15
Dwight Jones,1952-02-27,10
Wil Jones,1947-02-27,9
Rod Knowles,1946-02-27,1
Meyers Leonard,1992-02-27,8
David Noel,1984-02-27,1
Terence Stansbury,1961-02-27,3
Loy Vaught,1968-02-27,11
Brandon Williams,1975-02-27,3
James Worthy*,1961-02-27,12
Vincent Askew,1966-02-28,9
Ticky Burden,1953-02-28,3
Alex Caruso,1994-02-28,3
Adrian Dantley*,1955-02-28,15
Luka Dončić,1999-02-28,2
Francisco Elson,1976-02-28,9
Duane Ferrell,1965-02-28,11
Charles Jenkins,1989-02-28,2
Tommy Kron,1943-02-28,4
Josh McRoberts,1987-02-28,11
Tayshaun Prince,1980-02-28,14
Tom Riker,1950-02-28,3
Marquis Teague,1993-02-28,3
Jamaal Tinsley,1978-02-28,11
Chucky Brown,1968-02-29,13
John Chaney,1920-02-29,1
Vonteego Cummings,1976-02-29,3
Travis Diener,1982-03-01,5
Chris Engler,1959-03-01,5
Vincenzo Esposito,1969-03-01,1
Willie Long,1950-03-01,3
John Olive,1955-03-01,2
Chris Owens,1979-03-01,1
Ray Radziszewski,1935-03-01,1
Wally Rank,1958-03-01,1
Fred Scolari,1922-03-01,9
Jeff Slade,1941-03-01,1
Jarvis Varnado,1988-03-01,2
