country,type,details,month,year,number,first,last
Spain,Surgical.proce,Heart surgery,june,2008,2687,2,7
Spain,Surgical.proce,Angiology surgery,june,2008,9068,9,8
Spain,Surgical.proce,Maxillofacial surgery,june,2008,4453,4,3
Spain,Surgical.proce,Pediatric surgery,june,2008,9451,9,1
Spain,Surgical.proce,Plastic surgery,june,2008,10067,1,7
Spain,Surgical.proce,Thoracic surgery,june,2008,972,9,2
Spain,Surgical.proce,Neurosurgery,june,2008,5941,5,1
Spain,Surgical.proce,Dermatology surgery,june,2008,6266,6,6
Spain,Surgical.proce,General surgery and digestive,december,2008,71264,7,4
Spain,Surgical.proce,Gynecology surgery,december,2008,20598,2,8
Spain,Surgical.proce,Ophthalmology surgery,december,2008,71945,7,5
Spain,Surgical.proce,Otorhinolaryngology,december,2008,28972,2,2
Spain,Surgical.proce,Traumatology surgery,december,2008,93755,9,5
Spain,Surgical.proce,Urology surgery,december,2008,27445,2,5
Spain,Surgical.proce,Heart surgery,december,2008,2303,2,3
Spain,Surgical.proce,Angiology surgery,december,2008,9270,9,0
Spain,Surgical.proce,Maxillofacial surgery,december,2008,4763,4,3
Spain,Surgical.proce,Pediatric surgery,december,2008,9388,9,8
Spain,Surgical.proce,Plastic surgery,december,2008,10105,1,5
Spain,Surgical.proce,Thoracic surgery,december,2008,1091,1,1
Spain,Surgical.proce,Neurosurgery,december,2008,5574,5,4
Spain,Surgical.proce,Dermatology surgery,december,2008,7922,7,2
Spain,Surgical.proce,General surgery and digestive,june,2009,67587,6,7
Spain,Surgical.proce,Gynecology surgery,june,2009,21399,2,9
Spain,Surgical.proce,Ophthalmology surgery,june,2009,73250,7,0
Spain,Surgical.proce,Otorhinolaryngology,june,2009,31522,3,2
Spain,Surgical.proce,Traumatology surgery,june,2009,98688,9,8
Spain,Surgical.proce,Urology surgery,june,2009,27840,2,0
Spain,Surgical.proce,Heart surgery,june,2009,2072,2,2
Spain,Surgical.proce,Angiology surgery,june,2009,10234,1,4
Spain,Surgical.proce,Maxillofacial surgery,june,2009,5517,5,7
Spain,Surgical.proce,Pediatric surgery,june,2009,10178,1,8
Spain,Surgical.proce,Plastic surgery,june,2009,10349,1,9
Spain,Surgical.proce,Thoracic surgery,june,2009,946,9,6
Spain,Surgical.proce,Neurosurgery,june,2009,5904,5,4
Spain,Surgical.proce,Dermatology surgery,june,2009,8704,8,4
Spain,Surgical.proce,General surgery and digestive,december,2009,72492,7,2
Spain,Surgical.proce,Gynecology surgery,december,2009,21305,2,5
Spain,Surgical.proce,Ophthalmology surgery,december,2009,70421,7,1
Spain,Surgical.proce,Otorhinolaryngology,december,2009,30068,3,8
Spain,Surgical.proce,Traumatology surgery,december,2009,97187,9,7
Spain,Surgical.proce,Urology surgery,december,2009,26699,2,9
Spain,Surgical.proce,Heart surgery,december,2009,2289,2,9
Spain,Surgical.proce,Angiology surgery,december,2009,10118,1,8
Spain,Surgical.proce,Maxillofacial surgery,december,2009,5742,5,2
Spain,Surgical.proce,Pediatric surgery,december,2009,10542,1,2
Spain,Surgical.proce,Plastic surgery,december,2009,10673,1,3
Spain,Surgical.proce,Thoracic surgery,december,2009,1040,1,0
Spain,Surgical.proce,Neurosurgery,december,2009,6294,6,4
Spain,Surgical.proce,Dermatology surgery,december,2009,7596,7,6
Spain,Surgical.proce,General surgery and digestive,june,2010,68940,6,0
Spain,Surgical.proce,Gynecology surgery,june,2010,21086,2,6
Spain,Surgical.proce,Ophthalmology surgery,june,2010,77660,7,0
Spain,Surgical.proce,Otorhinolaryngology,june,2010,29782,2,2
Spain,Surgical.proce,Traumatology surgery,june,2010,101989,1,9
Spain,Surgical.proce,Urology surgery,june,2010,25913,2,3
Spain,Surgical.proce,Heart surgery,june,2010,2544,2,4
Spain,Surgical.proce,Angiology surgery,june,2010,10349,1,9
Spain,Surgical.proce,Maxillofacial surgery,june,2010,5873,5,3
Spain,Surgical.proce,Pediatric surgery,june,2010,10720,1,0
Spain,Surgical.proce,Plastic surgery,june,2010,12017,1,7
Spain,Surgical.proce,Thoracic surgery,june,2010,1135,1,5
Spain,Surgical.proce,Neurosurgery,june,2010,6439,6,9
Spain,Surgical.proce,Dermatology surgery,june,2010,7304,7,4
Spain,Surgical.proce,General surgery and digestive,december,2010,73057,7,7
Spain,Surgical.proce,Gynecology surgery,december,2010,21521,2,1
Spain,Surgical.proce,Ophthalmology surgery,december,2010,80275,8,5
Spain,Surgical.proce,Otorhinolaryngology,december,2010,29544,2,4
Spain,Surgical.proce,Traumatology surgery,december,2010,100321,1,1
Spain,Surgical.proce,Urology surgery,december,2010,28005,2,5
Spain,Surgical.proce,Heart surgery,december,2010,2592,2,2
Spain,Surgical.proce,Angiology surgery,december,2010,11085,1,5
Spain,Surgical.proce,Maxillofacial surgery,december,2010,6056,6,6
Spain,Surgical.proce,Pediatric surgery,december,2010,10234,1,4
Spain,Surgical.proce,Plastic surgery,december,2010,12511,1,1
Spain,Surgical.proce,Thoracic surgery,december,2010,1109,1,9
Spain,Surgical.proce,Neurosurgery,december,2010,6241,6,1
Spain,Surgical.proce,Dermatology surgery,december,2010,9521,9,1
Spain,Surgical.proce,General surgery and digestive,june,2011,75914,7,4
Spain,Surgical.proce,Gynecology surgery,june,2011,21057,2,7
Spain,Surgical.proce,Ophthalmology surgery,june,2011,83491,8,1
Spain,Surgical.proce,Otorhinolaryngology,june,2011,31160,3,0
Spain,Surgical.proce,Traumatology surgery,june,2011,115328,1,8
Spain,Surgical.proce,Urology surgery,june,2011,29360,2,0
Spain,Surgical.proce,Heart surgery,june,2011,4141,4,1
Spain,Surgical.proce,Angiology surgery,june,2011,10033,1,3
Spain,Surgical.proce,Maxillofacial surgery,june,2011,7345,7,5
Spain,Surgical.proce,Pediatric surgery,june,2011,10411,1,1
Spain,Surgical.proce,Plastic surgery,june,2011,13000,1,0
Spain,Surgical.proce,Thoracic surgery,june,2011,1568,1,8
Spain,Surgical.proce,Neurosurgery,june,2011,6733,6,3
Spain,Surgical.proce,Dermatology surgery,june,2011,7866,7,6
Spain,Surgical.proce,General surgery and digestive,december,2011,87152,8,2
Spain,Surgical.proce,Gynecology surgery,december,2011,22566,2,6
Spain,Surgical.proce,Ophthalmology surgery,december,2011,92541,9,1
Spain,Surgical.proce,Otorhinolaryngology,december,2011,32921,3,1
Spain,Surgical.proce,Traumatology surgery,december,2011,126688,1,8
Spain,Surgical.proce,Urology surgery,december,2011,31789,3,9
Spain,Surgical.proce,Heart surgery,december,2011,2886,2,6
Spain,Surgical.proce,Angiology surgery,december,2011,11085,1,5
Spain,Surgical.proce,Maxillofacial surgery,december,2011,6664,6,4
Spain,Surgical.proce,Pediatric surgery,december,2011,11623,1,3
Spain,Surgical.proce,Plastic surgery,december,2011,13786,1,6
Spain,Surgical.proce,Thoracic surgery,december,2011,1208,1,8
Spain,Surgical.proce,Neurosurgery,december,2011,7719,7,9
Spain,Surgical.proce,Dermatology surgery,december,2011,9581,9,1
Spain,Surgical.proce,General surgery and digestive,june,2012,101322,1,2
Spain,Surgical.proce,Gynecology surgery,june,2012,25029,2,9
Spain,Surgical.proce,Ophthalmology surgery,june,2012,108134,1,4
Spain,Surgical.proce,Otorhinolaryngology,june,2012,38086,3,6
Spain,Surgical.proce,Traumatology surgery,june,2012,152102,1,2
Spain,Surgical.proce,Urology surgery,june,2012,38155,3,5
Spain,Surgical.proce,Heart surgery,june,2012,3258,3,8
Spain,Surgical.proce,Angiology surgery,june,2012,14120,1,0
Spain,Surgical.proce,Maxillofacial surgery,june,2012,7341,7,1
Spain,Surgical.proce,Pediatric surgery,june,2012,13420,1,0
Spain,Surgical.proce,Plastic surgery,june,2012,14687,1,7
Spain,Surgical.proce,Thoracic surgery,june,2012,1563,1,3
Spain,Surgical.proce,Neurosurgery,june,2012,8920,8,0
Spain,Surgical.proce,Dermatology surgery,june,2012,10774,1,4
Spain,Surgical.proce,General surgery and digestive,december,2012,108508,1,8
Spain,Surgical.proce,Gynecology surgery,december,2012,25015,2,5
Spain,Surgical.proce,Ophthalmology surgery,december,2012,110812,1,2
Spain,Surgical.proce,Otorhinolaryngology,december,2012,38831,3,1
Spain,Surgical.proce,Traumatology surgery,december,2012,166302,1,2
Spain,Surgical.proce,Urology surgery,december,2012,39691,3,1
Spain,Surgical.proce,Heart surgery,december,2012,3277,3,7
Spain,Surgical.proce,Angiology surgery,december,2012,16481,1,1
Spain,Surgical.proce,Maxillofacial surgery,december,2012,8296,8,6
Spain,Surgical.proce,Pediatric surgery,december,2012,14550,1,0
Spain,Surgical.proce,Plastic surgery,december,2012,15826,1,6
Spain,Surgical.proce,Thoracic surgery,december,2012,1375,1,5
Spain,Surgical.proce,Neurosurgery,december,2012,9683,9,3
Spain,Surgical.proce,Dermatology surgery,december,2012,12748,1,8
Spain,Surgical.proce,General surgery and digestive,june,2013,110047,1,7
Spain,Surgical.proce,Gynecology surgery,june,2013,24605,2,5
Spain,Surgical.proce,Ophthalmology surgery,june,2013,111832,1,2
Spain,Surgical.proce,Otorhinolaryngology,june,2013,39807,3,7
Spain,Surgical.proce,Traumatology surgery,june,2013,173006,1,6
Spain,Surgical.proce,Urology surgery,june,2013,39716,3,6
Spain,Surgical.proce,Heart surgery,june,2013,3379,3,9
Spain,Surgical.proce,Angiology surgery,june,2013,16482,1,2
Spain,Surgical.proce,Maxillofacial surgery,june,2013,8016,8,6
Spain,Surgical.proce,Pediatric surgery,june,2013,15196,1,6
Spain,Surgical.proce,Plastic surgery,june,2013,16108,1,8
Spain,Surgical.proce,Thoracic surgery,june,2013,1684,1,4
Spain,Surgical.proce,Neurosurgery,june,2013,10062,1,2
Spain,Surgical.proce,Dermatology surgery,june,2013,13666,1,6
Spain,Surgical.proce,General surgery and digestive,december,2013,105863,1,3
Spain,Surgical.proce,Gynecology surgery,december,2013,24492,2,2
Spain,Surgical.proce,Ophthalmology surgery,december,2013,114102,1,2
Spain,Surgical.proce,Otorhinolaryngology,december,2013,37801,3,1
Spain,Surgical.proce,Traumatology surgery,december,2013,156017,1,7
Spain,Surgical.proce,Urology surgery,december,2013,37665,3,5
Spain,Surgical.proce,Heart surgery,december,2013,3460,3,0
Spain,Surgical.proce,Angiology surgery,december,2013,14338,1,8
Spain,Surgical.proce,Maxillofacial surgery,december,2013,7272,7,2
Spain,Surgical.proce,Pediatric surgery,december,2013,14365,1,5
Spain,Surgical.proce,Plastic surgery,december,2013,17099,1,9
Spain,Surgical.proce,Thoracic surgery,december,2013,1525,1,5
Spain,Surgical.proce,Neurosurgery,december,2013,9701,9,1
Spain,Surgical.proce,Dermatology surgery,december,2013,15636,1,6
Spain,Surgical.proce,General surgery and digestive,june,2014,100201,1,1
Spain,Surgical.proce,Gynecology surgery,june,2014,22159,2,9
Spain,Surgical.proce,Ophthalmology surgery,june,2014,116528,1,8
Spain,Surgical.proce,Otorhinolaryngology,june,2014,39608,3,8
Spain,Surgical.proce,Traumatology surgery,june,2014,157653,1,3
Spain,Surgical.proce,Urology surgery,june,2014,35398,3,8
Spain,Surgical.proce,Heart surgery,june,2014,3175,3,5
Spain,Surgical.proce,Angiology surgery,june,2014,13509,1,9
Spain,Surgical.proce,Maxillofacial surgery,june,2014,7457,7,7
Spain,Surgical.proce,Pediatric surgery,june,2014,14809,1,9
Spain,Surgical.proce,Plastic surgery,june,2014,15783,1,3
Spain,Surgical.proce,Thoracic surgery,june,2014,1504,1,4
Spain,Surgical.proce,Neurosurgery,june,2014,9964,9,4
Spain,Surgical.proce,Dermatology surgery,june,2014,14257,1,7
Spain,Surgical.proce,General surgery and digestive,december,2014,95908,9,8
Spain,Surgical.proce,Gynecology surgery,december,2014,21731,2,1
Spain,Surgical.proce,Ophthalmology surgery,december,2014,109596,1,6
Spain,Surgical.proce,Otorhinolaryngology,december,2014,34615,3,5
Spain,Surgical.proce,Traumatology surgery,december,2014,137955,1,5
Spain,Surgical.proce,Urology surgery,december,2014,34722,3,2
Spain,Surgical.proce,Heart surgery,december,2014,3039,3,9
Spain,Surgical.proce,Angiology surgery,december,2014,13404,1,4
Spain,Surgical.proce,Maxillofacial surgery,december,2014,7457,7,7
Spain,Surgical.proce,Pediatric surgery,december,2014,13150,1,0
Spain,Surgical.proce,Plastic surgery,december,2014,14085,1,5
Spain,Surgical.proce,Thoracic surgery,december,2014,1421,1,1
Spain,Surgical.proce,Neurosurgery,december,2014,9794,9,4
Spain,Surgical.proce,Dermatology surgery,december,2014,15043,1,3
Spain,Surgical.proce,General surgery and digestive,june,2015,95083,9,3
Spain,Surgical.proce,Gynecology surgery,june,2015,21150,2,0
Spain,Surgical.proce,Ophthalmology surgery,june,2015,109934,1,4
Spain,Surgical.proce,Otorhinolaryngology,june,2015,37010,3,0
Spain,Surgical.proce,Traumatology surgery,june,2015,146025,1,5
Spain,Surgical.proce,Urology surgery,june,2015,35823,3,3
Spain,Surgical.proce,Heart surgery,june,2015,2933,2,3
Spain,Surgical.proce,Angiology surgery,june,2015,12446,1,6
Spain,Surgical.proce,Maxillofacial surgery,june,2015,8120,8,0
Spain,Surgical.proce,Pediatric surgery,june,2015,12911,1,1
Spain,Surgical.proce,Plastic surgery,june,2015,14584,1,4
Spain,Surgical.proce,Thoracic surgery,june,2015,1481,1,1
Spain,Surgical.proce,Neurosurgery,june,2015,10282,1,2
Spain,Surgical.proce,Dermatology surgery,june,2015,14382,1,2
Spain,Surgical.proce,General surgery and digestive,december,2015,100298,1,8
Spain,Surgical.proce,Gynecology surgery,december,2015,22047,2,7
Spain,Surgical.proce,Ophthalmology surgery,december,2015,116548,1,8
Spain,Surgical.proce,Otorhinolaryngology,december,2015,37891,3,1
Spain,Surgical.proce,Traumatology surgery,december,2015,149159,1,9
Spain,Surgical.proce,Urology surgery,december,2015,38139,3,9
Spain,Surgical.proce,Heart surgery,december,2015,3496,3,6
Spain,Surgical.proce,Angiology surgery,december,2015,13824,1,4
Spain,Surgical.proce,Maxillofacial surgery,december,2015,8577,8,7
Spain,Surgical.proce,Pediatric surgery,december,2015,15279,1,9
Spain,Surgical.proce,Plastic surgery,december,2015,15583,1,3
Spain,Surgical.proce,Thoracic surgery,december,2015,1447,1,7
Spain,Surgical.proce,Neurosurgery,december,2015,10437,1,7
Spain,Surgical.proce,Dermatology surgery,december,2015,16705,1,5
Spain,Surgical.specia,Cataract surgery,december,2003,71504,7,4
Spain,Surgical.specia,Inguinal and femoral hernia,december,2003,25659,2,9
Spain,Surgical.specia,Hip replacement in-patient,december,2003,9563,9,3
Spain,Surgical.specia,Arthroscopy,december,2003,14675,1,5
Spain,Surgical.specia,Varices,december,2003,14157,1,7
Spain,Surgical.specia,Cholecystectomy,december,2003,9849,9,9
Spain,Surgical.specia,Hallux valgus,december,2003,17003,1,3
Spain,Surgical.specia,Adenotonsillectomy,december,2003,9841,9,1
Spain,Surgical.specia,Benign prostatic hypertrophy,december,2003,5122,5,2
Spain,Surgical.specia,Pilonidal cyst,december,2003,6593,6,3
Spain,Surgical.specia,Carpal tunnel,december,2003,8378,8,8
Spain,Surgical.specia,Cataract surgery,december,2004,70237,7,7
Spain,Surgical.specia,Inguinal and femoral hernia,december,2004,24478,2,8
Spain,Surgical.specia,Hip replacement in-patient,december,2004,9644,9,4
Spain,Surgical.specia,Arthroscopy,december,2004,15485,1,5
Spain,Surgical.specia,Varices,december,2004,14286,1,6
Spain,Surgical.specia,Cholecystectomy,december,2004,10944,1,4
Spain,Surgical.specia,Hallux valgus,december,2004,15098,1,8
Spain,Surgical.specia,Adenotonsillectomy,december,2004,10681,1,1
Spain,Surgical.specia,Benign prostatic hypertrophy,december,2004,4771,4,1
Spain,Surgical.specia,Pilonidal cyst,december,2004,5647,5,7
Spain,Surgical.specia,Carpal tunnel,december,2004,9740,9,0
Spain,Surgical.specia,Cataract surgery,december,2005,64434,6,4
Spain,Surgical.specia,Inguinal and femoral hernia,december,2005,23208,2,8
Spain,Surgical.specia,Hip replacement in-patient,december,2005,9588,9,8
Spain,Surgical.specia,Arthroscopy,december,2005,15411,1,1
Spain,Surgical.specia,Varices,december,2005,12039,1,9
Spain,Surgical.specia,Cholecystectomy,december,2005,10193,1,3
Spain,Surgical.specia,Hallux valgus,december,2005,13891,1,1
Spain,Surgical.specia,Adenotonsillectomy,december,2005,9721,9,1
Spain,Surgical.specia,Benign prostatic hypertrophy,december,2005,4472,4,2
Spain,Surgical.specia,Pilonidal cyst,december,2005,5080,5,0
Spain,Surgical.specia,Carpal tunnel,december,2005,9203,9,3
Spain,Surgical.specia,Cataract surgery,june,2006,62948,6,8
Spain,Surgical.specia,Inguinal and femoral hernia,june,2006,19726,1,6
Spain,Surgical.specia,Hip replacement in-patient,june,2006,9091,9,1
Spain,Surgical.specia,Arthroscopy,june,2006,15965,1,5
Spain,Surgical.specia,Varices,june,2006,12114,1,4
Spain,Surgical.specia,Cholecystectomy,june,2006,10150,1,0
Spain,Surgical.specia,Hallux valgus,june,2006,14331,1,1
Spain,Surgical.specia,Adenotonsillectomy,june,2006,9629,9,9
Spain,Surgical.specia,Benign prostatic hypertrophy,june,2006,4745,4,5
Spain,Surgical.specia,Pilonidal cyst,june,2006,4157,4,7
Spain,Surgical.specia,Carpal tunnel,june,2006,10341,1,1
Spain,Surgical.specia,Cataract surgery,december,2006,59641,5,1
Spain,Surgical.specia,Inguinal and femoral hernia,december,2006,19582,1,2
Spain,Surgical.specia,Hip replacement in-patient,december,2006,8908,8,8
Spain,Surgical.specia,Arthroscopy,december,2006,15316,1,6
Spain,Surgical.specia,Varices,december,2006,11170,1,0
Spain,Surgical.specia,Cholecystectomy,december,2006,10085,1,5
Spain,Surgical.specia,Hallux valgus,december,2006,13206,1,6
Spain,Surgical.specia,Adenotonsillectomy,december,2006,8678,8,8
Spain,Surgical.specia,Benign prostatic hypertrophy,december,2006,4181,4,1
Spain,Surgical.specia,Pilonidal cyst,december,2006,4180,4,0
Spain,Surgical.specia,Carpal tunnel,december,2006,8880,8,0
Spain,Surgical.specia,Cataract surgery,june,2007,58682,5,2
Spain,Surgical.specia,Inguinal and femoral hernia,june,2007,19196,1,6
Spain,Surgical.specia,Hip replacement in-patient,june,2007,8291,8,1
Spain,Surgical.specia,Arthroscopy,june,2007,15551,1,1
Spain,Surgical.specia,Varices,june,2007,11173,1,3
Spain,Surgical.specia,Cholecystectomy,june,2007,9658,9,8
Spain,Surgical.specia,Hallux valgus,june,2007,12513,1,3
Spain,Surgical.specia,Adenotonsillectomy,june,2007,10109,1,9
Spain,Surgical.specia,Benign prostatic hypertrophy,june,2007,4332,4,2
Spain,Surgical.specia,Pilonidal cyst,june,2007,4090,4,0
Spain,Surgical.specia,Carpal tunnel,june,2007,8974,8,4
Spain,Surgical.specia,Cataract surgery,december,2007,59437,5,7
Spain,Surgical.specia,Inguinal and femoral hernia,december,2007,19970,1,0
Spain,Surgical.specia,Hip replacement in-patient,december,2007,8561,8,1
Spain,Surgical.specia,Arthroscopy,december,2007,15664,1,4
Spain,Surgical.specia,Varices,december,2007,10783,1,3
Spain,Surgical.specia,Cholecystectomy,december,2007,9852,9,2
Spain,Surgical.specia,Hallux valgus,december,2007,12477,1,7
Spain,Surgical.specia,Adenotonsillectomy,december,2007,9604,9,4
Spain,Surgical.specia,Benign prostatic hypertrophy,december,2007,4284,4,4
Spain,Surgical.specia,Pilonidal cyst,december,2007,4179,4,9
Spain,Surgical.specia,Carpal tunnel,december,2007,8125,8,5
Spain,Surgical.specia,Cataract surgery,june,2008,60548,6,8
Spain,Surgical.specia,Inguinal and femoral hernia,june,2008,18624,1,4
Spain,Surgical.specia,Hip replacement in-patient,june,2008,7956,7,6
Spain,Surgical.specia,Arthroscopy,june,2008,15665,1,5
Spain,Surgical.specia,Varices,june,2008,10051,1,1
Spain,Surgical.specia,Cholecystectomy,june,2008,9673,9,3
Spain,Surgical.specia,Hallux valgus,june,2008,11680,1,0
Spain,Surgical.specia,Adenotonsillectomy,june,2008,10084,1,4
Spain,Surgical.specia,Benign prostatic hypertrophy,june,2008,4208,4,8
Spain,Surgical.specia,Pilonidal cyst,june,2008,4253,4,3
Spain,Surgical.specia,Carpal tunnel,june,2008,9245,9,5
Spain,Surgical.specia,Cataract surgery,december,2008,57647,5,7
Spain,Surgical.specia,Inguinal and femoral hernia,december,2008,17664,1,4
Spain,Surgical.specia,Hip replacement in-patient,december,2008,7990,7,0
Spain,Surgical.specia,Arthroscopy,december,2008,15294,1,4
Spain,Surgical.specia,Varices,december,2008,10382,1,2
Spain,Surgical.specia,Cholecystectomy,december,2008,9795,9,5
Spain,Surgical.specia,Hallux valgus,december,2008,12556,1,6
Spain,Surgical.specia,Adenotonsillectomy,december,2008,9076,9,6
Spain,Surgical.specia,Benign prostatic hypertrophy,december,2008,3978,3,8
Spain,Surgical.specia,Pilonidal cyst,december,2008,3995,3,5
Spain,Surgical.specia,Carpal tunnel,december,2008,8012,8,2
Spain,Surgical.specia,Cataract surgery,june,2009,57454,5,4
